symbol,entry_date,exit_date,quantity,entry_price,exit_price,target_return,holding_days,exit_reason,fees,tax,net_pnl,return_pct,mae,mfe
6510,2019-02-19,2019-04-02,27,404.40399999999994,464.59953539999987,0.15,28,TP,33.43491102451499,37.63256236739999,1554.2119824080837,0.14213879097286358,-0.035617847499035515,0.2561695730012563
3708,2019-05-13,2019-06-05,128,89.08899999999998,99.67990032,0.12,17,TP,34.431447418367995,38.27708172288,1282.9267118187545,0.1123438659909631,-0.11773621351546082,0.14492249323710027
3665,2019-05-21,2019-06-12,63,181.39055993652343,199.33008631424562,0.1,15,TP,34.179196017162795,37.67338631339243,1058.3375794659423,0.09248058266969576,0.0,0.13094457478670796
3105,2019-05-22,2019-06-12,68,168.16799999999998,188.15981184,0.12,14,TP,34.528164967296,38.384601615360005,1286.5304385373456,0.11234386599096302,-0.09911517054374186,0.1209029066171925
4943,2019-06-10,2019-06-20,67,184.40503074645994,211.8537195730705,0.15,8,TP,37.832804186757166,42.58259763418717,1758.6467495619618,0.14213879097286355,-0.005060011951782406,0.16956213508091889
3552,2019-05-21,2019-07-02,190,60.86079999999999,66.87993311999999,0.1,29,TP,34.58580349223999,38.121561878399994,1070.9279274293585,0.09248058266969557,-0.0601503759398494,0.12058993637941029
3374,2019-05-09,2019-07-05,302,37.787749999999996,42.27995772,0.12,40,TP,34.457138017302,38.30564169432,1283.8839517283795,0.11234386599096302,-0.17168923791440338,0.12337993132695146
3189,2019-08-06,2019-09-06,351,37.23720076370239,41.66395919049133,0.12,22,TP,39.46438768008885,43.872149027587376,1470.455671095242,0.1123438659909629,-0.017111981473172944,0.13327532406986498
6668,2019-05-14,2019-09-23,165,69.11277542114257,66.6365666885376,0.15,90,TIME_EXIT,31.91806406353855,32.985100510826115,-473.4776054541853,-0.04146090099337921,-0.22111784366886744,0.051208755663046945
3081,2019-05-17,2019-09-26,42,268.268,264.735,0.15,90,TIME_EXIT,31.900229550000002,33.35661,-213.64283954999883,-0.018934408849395564,-0.2395664037455082,0.06237046535554014
8069,2019-05-23,2019-10-03,376,31.531499999999998,29.42055,0.15,90,TIME_EXIT,32.65810839,33.1863804,-859.5616887899996,-0.07239792935426655,-0.1516420087848659,0.13695827981542275
