strategy_date,execution_date,symbol,client_order_id,oscillation_score,low_score,mr_probability,regime_risk,final_score,take_profit
2019-02-18,2019-02-19,6510,e423c2c6ace32e4e37bacd09,99.48315071325202,74.27126822352406,0.7142857142857143,20.0,81.84133369842804,0.15
2019-05-08,2019-05-09,3374,c70ecc8a039a67e77e22ef59,83.46777996649922,75.55082056842433,0.6666666666666666,20.0,75.92803913205584,0.12
2019-05-10,2019-05-13,3708,9330d9a09b9ad16cb606ce23,99.94812818084925,87.33203910664871,0.6666666666666666,20.0,83.81744823091695,0.12
2019-05-13,2019-05-14,6668,4eb455b1f10e71e76e96ef15,96.11066577448588,92.56904970886205,0.6923076923076923,20.0,84.74469292879203,0.15
2019-05-16,2019-05-17,3081,21ab21694cfa394bd2376c58,94.22732588425593,73.82193851421576,0.7692307692307693,20.0,81.8006054707538,0.15
2019-05-20,2019-05-21,3665,542dbe36ce4bc4ae9d517c3c,97.11399808161488,86.01747092595342,0.7857142857142857,20.0,86.20999572740139,0.1
2019-05-20,2019-05-21,3552,45c2ba32d70c316278587f75,89.96459171183774,82.83124694201659,0.7058823529411765,20.0,80.87365983729076,0.1
2019-05-21,2019-05-22,3105,53a164e21c112d170bf6ddd2,97.76149776149776,88.83673056986946,0.7142857142857143,20.0,84.96620339948812,0.12
2019-05-22,2019-05-23,8069,00c54b40ee3fbaa509e9781a,84.8589803086892,84.3545880308119,0.75,20.0,81.04634110030973,0.15
2019-06-06,2019-06-10,4943,9e5a02dd4a7902775ee8dc25,98.8610490594076,71.59322164843506,0.7857142857142857,20.0,83.12804870135962,0.15
2019-06-25,2019-06-26,3708,be53532b750f55e973e5f20e,89.36611422470445,88.61202642887855,0.6666666666666666,20.0,80.96284087463097,0.12
2019-07-12,2019-07-15,4426,b3f8915fa0a995229a591183,87.4102703206521,69.77170691507871,0.6666666666666666,20.0,75.6660078249653,0.2
2019-07-30,2019-07-31,3227,5632a9edd67b4161d1963aa7,94.23249825115332,83.03750209536135,0.7692307692307693,20.0,84.1060480761094,0.15
2019-07-31,2019-08-01,2439,d013a7ad10572b89d1de422d,67.16278146517419,82.6596962342233,0.6923076923076923,20.0,73.58298926733886,0.2
2019-08-05,2019-08-06,3189,c1516f164803c49f53da128f,77.01922277274288,86.69973400081264,0.6666666666666666,20.0,76.78070033202602,0.12
2019-09-17,2019-09-18,6150,c5c55ee30520d2b73270561a,73.80791303342735,80.46927899336522,0.6842105263157895,20.0,74.7860094478432,0.12
2019-09-25,2019-09-26,6533,aa396d714123be07c420770b,79.29816072612063,65.67619971753517,0.6923076923076923,20.0,72.97772891645076,0.15
2019-09-27,2019-10-01,2340,0e12cfc523a1c34c8f0bc32f,65.98102191236384,76.46286647461667,0.7142857142857143,20.0,72.33859462093476,0.1
2019-10-09,2019-10-14,3081,6e8023fcc7487d6a0fdef7b8,74.05705662701777,67.49213645759988,0.7647058823529411,20.0,74.03132757309353,0.15
2019-11-06,2019-11-07,2329,1bada96a154b91af5bd7fc93,66.1105446224911,91.38777574560298,0.9230769230769231,20.0,82.37241501545577,0.2
2019-11-07,2019-11-08,5264,10b403d31bf0a2475b433779,85.52354735692808,80.60412966508976,0.6666666666666666,20.0,77.80809662335086,0.15
2019-11-07,2019-11-08,2344,dc8571ac866d6684b2560f7b,69.22099201498925,86.87647330882373,0.6666666666666666,20.0,74.4854159317027,0.15
2019-11-08,2019-11-11,6462,5b04047fc848cd5238a167b9,90.88122217725618,80.15128053945027,0.8666666666666667,20.0,85.30218678803942,0.2
2019-11-11,2019-11-12,2316,e459b1dad79f0675ac70ae4f,90.79397704067082,87.08672183537911,0.7692307692307693,20.0,84.08679664796911,0.2
2019-11-11,2019-11-12,6533,1653948d528787ba6bfd0255,89.321365799142,87.92669804521618,0.6923076923076923,20.0,81.54731502027741,0.15
2019-12-11,2019-12-12,6111,f09aa492181427fe7d9c06a7,84.60277109804801,86.80431407536823,0.6923076923076923,20.0,79.85114061748723,0.15
2019-12-11,2019-12-12,2367,ffa02d250ab8f694e9ccb3c0,73.29932386150156,81.65158833725125,0.75,20.0,76.90269424276329,0.12
2019-12-12,2019-12-13,3527,cd4221f147531cc8f34ef7cd,76.01694273045202,72.94608508449511,0.9230769230769231,20.0,80.73391178256708,0.2
2020-02-20,2020-02-21,6510,c6e66dbf911e7199102cb6a3,95.4386645962733,67.39504924972721,0.7272727272727273,20.0,79.2985435094956,0.2
