symbol,date,raw_return,corporate_action_adjusted_return,source,corporate_action,official_crosscheck,resolution,original_value,replacement_value,verified
3086,2020-01-13,3.5609065155807373,0.0006215040397763438,TPEx official whole-market daily tables,CAPITAL_REDUCTION,True,CORPORATE_ACTION_MECHANICAL_GAP,32.2,32.2,True
3086,2026-04-20,-0.89,-0.89,TPEx official whole-market daily tables,,True,VERIFIED_MARKET_MOVE,35.75,35.75,True
3089,2018-03-12,1.4474187380497132,0.045751633986928386,TPEx official whole-market daily tables,CAPITAL_REDUCTION,True,CORPORATE_ACTION_MECHANICAL_GAP,12.8,12.8,True
3093,2022-12-12,-0.7461187214611872,-0.7461187214611872,TPEx official whole-market daily tables,,True,VERIFIED_MARKET_MOVE,27.8,27.8,True
3095,2022-10-31,9.830324909747292,-0.008919722497522153,TPEx official whole-market daily tables,CAPITAL_REDUCTION,True,CORPORATE_ACTION_MECHANICAL_GAP,30.0,30.0,True
3138,2020-07-27,0.7837838043447045,0.7837838043447045,"Yahoo bootstrap, OHLC/calendar validated",,True,VERIFIED_MARKET_MOVE,71.55632019042969,71.55632019042969,True
3152,2026-06-30,0.5600961538461537,-0.09921163668665334,TPEx official whole-market daily tables,CAPITAL_REDUCTION,True,CORPORATE_ACTION_MECHANICAL_GAP,324.5,324.5,True
3162,2021-07-05,0.8166666666666667,0.09879032258064502,TPEx official whole-market daily tables,CAPITAL_REDUCTION,True,CORPORATE_ACTION_MECHANICAL_GAP,49.05,49.05,True
3171,2024-10-07,0.581132075471698,-0.025581395348837188,TPEx official whole-market daily tables,CAPITAL_REDUCTION,True,CORPORATE_ACTION_MECHANICAL_GAP,41.9,41.9,True
3191,2024-02-21,1.196172248803828,0.098086124401914,TPEx official whole-market daily tables,CAPITAL_REDUCTION,True,CORPORATE_ACTION_MECHANICAL_GAP,22.95,22.95,True
3219,2019-01-04,0.4136363636363638,0.4136363636363638,TPEx official whole-market daily tables,,True,VERIFIED_MARKET_MOVE,15.55,15.55,True
3230,2021-03-24,1.00734394124847,0.09919571045576392,TPEx official whole-market daily tables,CAPITAL_REDUCTION,True,CORPORATE_ACTION_MECHANICAL_GAP,16.4,16.4,True
3259,2020-10-05,0.35279805352798044,0.08213312572985587,TPEx official whole-market daily tables,CAPITAL_REDUCTION,True,CORPORATE_ACTION_MECHANICAL_GAP,27.8,27.8,True
3259,2023-08-28,0.38479809976247026,-0.07723963279518842,TPEx official whole-market daily tables,CAPITAL_REDUCTION,True,CORPORATE_ACTION_MECHANICAL_GAP,29.15,29.15,True
3288,2018-12-24,1.3068181818181817,-0.07727272727272727,TPEx official whole-market daily tables,CAPITAL_REDUCTION,True,CORPORATE_ACTION_MECHANICAL_GAP,10.15,10.15,True
3288,2022-09-26,0.3599999999999999,-0.09973521624007065,TPEx official whole-market daily tables,CAPITAL_REDUCTION,True,CORPORATE_ACTION_MECHANICAL_GAP,20.4,20.4,True
3290,2025-08-25,0.29493891797556726,0.01255458515283836,TPEx official whole-market daily tables,CAPITAL_REDUCTION,True,CORPORATE_ACTION_MECHANICAL_GAP,37.1,37.1,True
3293,2022-07-27,-0.5453964194373402,-0.02868852459016391,TPEx official whole-market daily tables,STOCK_DIVIDEND,True,CORPORATE_ACTION_MECHANICAL_GAP,355.5,355.5,True
3293,2024-07-26,-0.4634812286689419,-0.4634812286689419,TPEx official whole-market daily tables,,True,VERIFIED_MARKET_MOVE,786.0,786.0,True
3311,2019-09-23,-0.4625279429451785,-0.4625279429451785,"Yahoo bootstrap, OHLC/calendar validated",,True,VERIFIED_MARKET_MOVE,23.299999237060547,23.299999237060547,True
3312,2018-04-10,0.2568809240103984,0.2568809240103984,"Yahoo bootstrap, OHLC/calendar validated",,True,VERIFIED_MARKET_MOVE,6.3933258056640625,6.3933258056640625,True
3339,2020-10-19,1.0052083333333335,-0.09765625,TPEx official whole-market daily tables,CAPITAL_REDUCTION,True,CORPORATE_ACTION_MECHANICAL_GAP,11.55,11.55,True
3372,2019-10-07,1.2702702702702702,-0.039999999999999925,TPEx official whole-market daily tables,CAPITAL_REDUCTION,True,CORPORATE_ACTION_MECHANICAL_GAP,8.4,8.4,True
3383,2019-11-04,3.049019607843137,3.049019607843137,FinMind TaiwanStockPrice,,False,UNRESOLVED,4.13,4.13,False
3438,2020-09-14,0.2582781456953642,-0.022130725681935193,TPEx official whole-market daily tables,CAPITAL_REDUCTION,True,CORPORATE_ACTION_MECHANICAL_GAP,38.0,38.0,True
3452,2018-12-10,1.1958762886597936,-0.09999999999999998,FinMind TaiwanStockPrice,CAPITAL_REDUCTION,False,CORPORATE_ACTION_MECHANICAL_GAP,6.39,6.39,True
3520,2019-01-02,0.9077757685352623,0.0009487666034158071,TPEx official whole-market daily tables,CAPITAL_REDUCTION,True,CORPORATE_ACTION_MECHANICAL_GAP,10.55,10.55,True
3522,2022-08-26,0.5058949624866025,-0.09935897435897434,TPEx official whole-market daily tables,CAPITAL_REDUCTION,True,CORPORATE_ACTION_MECHANICAL_GAP,14.05,14.05,True
3523,2018-09-03,0.9126984126984128,-0.04365079365079361,TPEx official whole-market daily tables,CAPITAL_REDUCTION,True,CORPORATE_ACTION_MECHANICAL_GAP,12.05,12.05,True
3523,2021-11-29,0.8119891008174389,0.08748977923139822,TPEx official whole-market daily tables,CAPITAL_REDUCTION,True,CORPORATE_ACTION_MECHANICAL_GAP,13.3,13.3,True
3526,2021-03-29,0.32283464566929143,0.012475140119327488,TPEx official whole-market daily tables,CAPITAL_REDUCTION,True,CORPORATE_ACTION_MECHANICAL_GAP,168.0,168.0,True
3555,2021-10-06,0.4119601328903655,0.023356609679749507,TPEx official whole-market daily tables,CAPITAL_REDUCTION,True,CORPORATE_ACTION_MECHANICAL_GAP,42.5,42.5,True
3629,2018-04-03,0.5248868778280544,0.0002968239833780473,TPEx official whole-market daily tables,CAPITAL_REDUCTION,True,CORPORATE_ACTION_MECHANICAL_GAP,33.7,33.7,True
3632,2020-10-19,0.3176470588235294,-0.07284768211920534,TPEx official whole-market daily tables,CAPITAL_REDUCTION,True,CORPORATE_ACTION_MECHANICAL_GAP,11.2,11.2,True
3682,2020-01-20,0.38273381294964026,0.38273381294964026,FinMind TaiwanStockPrice,,False,UNRESOLVED,9.61,9.61,False
4109,2019-03-29,0.2951289398280803,0.09922178988326857,TPEx official whole-market daily tables,CAPITAL_REDUCTION,True,CORPORATE_ACTION_MECHANICAL_GAP,22.6,22.6,True
4131,2022-01-10,1.5999999999999996,0.02300242130750596,TPEx official whole-market daily tables,CAPITAL_REDUCTION,True,CORPORATE_ACTION_MECHANICAL_GAP,16.9,16.9,True
