endpoint,source_tier,download_timestamp,checksum,http_status,row_count,cache_path,error
https://wwwc.twse.com.tw/rwd/zh/exRight/TWT49U,SOURCE_TIER_1_EXCHANGE_OPENAPI,2026-08-21T08:55:08.744702578+00:00,fa95bd75285c399782f7c3cff2692f765dc6cac37b964ec79b2244acd6c71756,200,10,C:\Users\Administrator\OneDrive\Desktop\auto trading\tw-mean-reversion-trader\data\cache\fallback\3673e9668b61d3d96ae6aceec1f2f2a6869c0eb7d1be1c889c4caecde0c0a8d9.json,
https://wwwc.twse.com.tw/rwd/zh/exRight/TWT49U,SOURCE_TIER_1_EXCHANGE_OPENAPI,2026-08-21T08:55:09.142683744+00:00,7007109692e132048042ed4ea8c67d4cdb75b44780987d4a8ce2eb9208efc45c,200,12,C:\Users\Administrator\OneDrive\Desktop\auto trading\tw-mean-reversion-trader\data\cache\fallback\eb8580488364e70d045075b901efbd5b1c7e0aae707bb387776870227736e91d.json,
https://wwwc.twse.com.tw/rwd/zh/exRight/TWT49U,SOURCE_TIER_1_EXCHANGE_OPENAPI,2026-08-21T08:55:09.422838926+00:00,bf0a6b101d7ab6eca8f157d0eb2a39b9c251fc25c609e6dab2313afcc20163f0,200,4,C:\Users\Administrator\OneDrive\Desktop\auto trading\tw-mean-reversion-trader\data\cache\fallback\bd38e7c1909a2d9fcb2d669d82a646663c75ab3fa320e99f1cc2d9f69f67256e.json,
https://wwwc.twse.com.tw/rwd/zh/exRight/TWT49U,SOURCE_TIER_1_EXCHANGE_OPENAPI,2026-08-21T08:55:09.805840015+00:00,8aa32db084e85f78cefa80a2ddc6c0712d7ae105373ecf26fe7e0f3741d24f21,200,6,C:\Users\Administrator\OneDrive\Desktop\auto trading\tw-mean-reversion-trader\data\cache\fallback\37b28b87ba0993fed31897de46be4427c7ff95e8bf4c8177e3d5e6426d7582c9.json,
https://wwwc.twse.com.tw/rwd/zh/exRight/TWT49U,SOURCE_TIER_1_EXCHANGE_OPENAPI,2026-08-21T08:55:10.192045450+00:00,886f7cab09c82819452550155f6774d87bab0687d082e2c1de72140cdff495f3,200,5,C:\Users\Administrator\OneDrive\Desktop\auto trading\tw-mean-reversion-trader\data\cache\fallback\0220007c3586a40cc8d0f390fdc516934b4039e8194f1533b2b24dd67f4c0958.json,
https://wwwc.twse.com.tw/rwd/zh/exRight/TWT49U,SOURCE_TIER_1_EXCHANGE_OPENAPI,2026-08-21T08:55:10.654495001+00:00,fcb3e1f0a16b0883f08ae9b654a495b0b1712e99d743b31209bb1864b393ed5e,200,10,C:\Users\Administrator\OneDrive\Desktop\auto trading\tw-mean-reversion-trader\data\cache\fallback\429fc6b39de74002c8b0463c29bb974c8ede9b00415a428872ea058349ded4b2.json,
https://wwwc.twse.com.tw/rwd/zh/exRight/TWT49U,SOURCE_TIER_1_EXCHANGE_OPENAPI,2026-08-21T08:55:11.287815571+00:00,b82defe7aed619f4cb3d9c1ccb947be34ef1aee3c753fb6bccbcb104fbfac915,200,69,C:\Users\Administrator\OneDrive\Desktop\auto trading\tw-mean-reversion-trader\data\cache\fallback\fcb770faf1fc030b76340b23cbaf0e2d717a7f90f36886b32b7f206c04de3ce5.json,
https://wwwc.twse.com.tw/rwd/zh/exRight/TWT49U,SOURCE_TIER_1_EXCHANGE_OPENAPI,2026-08-21T08:55:13.761306286+00:00,0d879718b8c4a1fe5d482de8623c5bb95b447ddc5db61c19e912bb79851f1cf1,200,454,C:\Users\Administrator\OneDrive\Desktop\auto trading\tw-mean-reversion-trader\data\cache\fallback\9d01055507afd0ca2e76566b36412d56a6416b1c2cd0a86494d9ace640cd29ff.json,
https://wwwc.twse.com.tw/rwd/zh/exRight/TWT49U,SOURCE_TIER_1_EXCHANGE_OPENAPI,2026-08-21T08:55:14.569092989+00:00,bf838513f8ffee6d678b052c7fa91bdd6a05fe969aa8afa222dc0fe8c2df44f6,200,214,C:\Users\Administrator\OneDrive\Desktop\auto trading\tw-mean-reversion-trader\data\cache\fallback\234c18f6f123bb6dc3c74568ee5a04cc38099d2b06f3a7bd4f091151f4888033.json,
https://wwwc.twse.com.tw/rwd/zh/exRight/TWT49U,SOURCE_TIER_1_EXCHANGE_OPENAPI,2026-08-21T08:55:15.113144398+00:00,42c94780d77e25c4e5867b6d0aaaf000990306fd73a797bac2ead6e319d366bd,200,51,C:\Users\Administrator\OneDrive\Desktop\auto trading\tw-mean-reversion-trader\data\cache\fallback\c7068a56a0f34da135b97e370afe2eb449e2e83cb2048edbff6f2033edd91be6.json,
https://wwwc.twse.com.tw/rwd/zh/exRight/TWT49U,SOURCE_TIER_1_EXCHANGE_OPENAPI,2026-08-21T08:55:15.740327597+00:00,8381597fad9891c6617690ce3d761de52f00c89e3285e3f2f30570856898a95a,200,21,C:\Users\Administrator\OneDrive\Desktop\auto trading\tw-mean-reversion-trader\data\cache\fallback\626022c18a0a0026f5463ec95d279fd2efef54da0cac39cbda6067499c8ad552.json,
https://wwwc.twse.com.tw/rwd/zh/exRight/TWT49U,SOURCE_TIER_1_EXCHANGE_OPENAPI,2026-08-21T08:55:16.380912066+00:00,287421c9a3caf7b8cee692ba4186c527c29837a53f78428ca9f0a177f451eece,200,24,C:\Users\Administrator\OneDrive\Desktop\auto trading\tw-mean-reversion-trader\data\cache\fallback\f944d0dcb329eaf18eb82502d05401176a3c8f94bc6e288b0e727247b68a146c.json,
https://wwwc.twse.com.tw/rwd/zh/exRight/TWT49U,SOURCE_TIER_1_EXCHANGE_OPENAPI,2026-08-21T08:55:16.669829607+00:00,d56a398d8f4a2049a26581399730da24369797d77709fb31654cd98efadd7586,200,10,C:\Users\Administrator\OneDrive\Desktop\auto trading\tw-mean-reversion-trader\data\cache\fallback\aa950be6a6f5ff3426ea63b4ba389fdb0678daa28b6a2edd5e263e4930728b6d.json,
https://wwwc.twse.com.tw/rwd/zh/exRight/TWT49U,SOURCE_TIER_1_EXCHANGE_OPENAPI,2026-08-21T08:55:17.058294535+00:00,f981a5c381fa8ef0f2d64bcf69fb0a649083813524ce042307bb3798540dedb5,200,10,C:\Users\Administrator\OneDrive\Desktop\auto trading\tw-mean-reversion-trader\data\cache\fallback\f482d25d671d82add353b0b6acb7c4db3b4e8a4ca6afbddd6b8dd1874bf61715.json,
https://wwwc.twse.com.tw/rwd/zh/exRight/TWT49U,SOURCE_TIER_1_EXCHANGE_OPENAPI,2026-08-21T08:55:17.369890451+00:00,d5ccb1f8b5867705f5896d85958638d33a4b42d0739b533d3d612fd130abb84d,200,5,C:\Users\Administrator\OneDrive\Desktop\auto trading\tw-mean-reversion-trader\data\cache\fallback\c2c68568c70ba20671ca07f89f7ff2e3fbf0221e88f23975298783e0597f1a1e.json,
https://wwwc.twse.com.tw/rwd/zh/exRight/TWT49U,SOURCE_TIER_1_EXCHANGE_OPENAPI,2026-08-21T08:55:17.806500435+00:00,6dcd8e12cee4e300bf57024fa35cf888f0cb81d8fa3c2ac5c2c542966d8d510d,200,23,C:\Users\Administrator\OneDrive\Desktop\auto trading\tw-mean-reversion-trader\data\cache\fallback\6cae64fa943b3b4c760c4d7ebfc76f0d9ca01c29971522054354784f7ceb1f43.json,
https://wwwc.twse.com.tw/rwd/zh/exRight/TWT49U,SOURCE_TIER_1_EXCHANGE_OPENAPI,2026-08-21T08:55:18.195635796+00:00,3b395237d8a60eae00144822ee488b47e0b08eb59e3e0bdc0af7c1edba76ab25,200,19,C:\Users\Administrator\OneDrive\Desktop\auto trading\tw-mean-reversion-trader\data\cache\fallback\0eb9b23b1900d29d81ff7d5e102982a449b719c1fff84b43af62cbfca2cc8779.json,
https://wwwc.twse.com.tw/rwd/zh/exRight/TWT49U,SOURCE_TIER_1_EXCHANGE_OPENAPI,2026-08-21T08:55:18.524249315+00:00,b008960076ca90bc34084064e0ae0b902292ef77487af201331a04c89449df0a,200,6,C:\Users\Administrator\OneDrive\Desktop\auto trading\tw-mean-reversion-trader\data\cache\fallback\2e6e8ce94fcf7931fa481fc247a86010a767bccd2a6295b8ce3f1b13548bead5.json,
https://wwwc.twse.com.tw/rwd/zh/exRight/TWT49U,SOURCE_TIER_1_EXCHANGE_OPENAPI,2026-08-21T08:55:19.254331589+00:00,bf8d281dec56126396c447aba8a55ce0b3bdeee5aa09b442d6a142dd6c9977f3,200,85,C:\Users\Administrator\OneDrive\Desktop\auto trading\tw-mean-reversion-trader\data\cache\fallback\3b10a9d00e06eaca962d96ae1823e5a644c77d32333025f78e0cc3a07cd58d5b.json,
https://wwwc.twse.com.tw/rwd/zh/exRight/TWT49U,SOURCE_TIER_1_EXCHANGE_OPENAPI,2026-08-21T08:55:20.503709316+00:00,1b1e2844d1af6bce22fc4541fd7514980c86d0e8ee178304330ac5128efeccd3,200,448,C:\Users\Administrator\OneDrive\Desktop\auto trading\tw-mean-reversion-trader\data\cache\fallback\7764270bb8e16550c3e55a9e8527a9b3646dd9ced506ce03931f139b5a8a1d5f.json,
https://wwwc.twse.com.tw/rwd/zh/exRight/TWT49U,SOURCE_TIER_1_EXCHANGE_OPENAPI,2026-08-21T08:55:21.069880247+00:00,da527da3840d5b06226f6fc29bc95b12089771d7dec5918c22b55bbdd2d76b29,200,157,C:\Users\Administrator\OneDrive\Desktop\auto trading\tw-mean-reversion-trader\data\cache\fallback\be6c0278912d009c412c9ea08c07d1fbae5b9e8fbdc83b5f6f72fa75d6577a77.json,
https://wwwc.twse.com.tw/rwd/zh/exRight/TWT49U,SOURCE_TIER_1_EXCHANGE_OPENAPI,2026-08-21T08:55:21.599276781+00:00,89671b4477a6acb2c2f59493786da7a9545aaa52e51a58db1e316c605cefddb0,200,65,C:\Users\Administrator\OneDrive\Desktop\auto trading\tw-mean-reversion-trader\data\cache\fallback\0c9066ca58efbca31c7a6625c7526b62ea28df86442bc017d9cce4d6793ed091.json,
https://wwwc.twse.com.tw/rwd/zh/exRight/TWT49U,SOURCE_TIER_1_EXCHANGE_OPENAPI,2026-08-21T08:55:22.026155233+00:00,863f1bf002ffa6154dce3e18ae77837deb6ebdfebfd32bb57eab3488a7fe3add,200,23,C:\Users\Administrator\OneDrive\Desktop\auto trading\tw-mean-reversion-trader\data\cache\fallback\eea9429c65cbe85bc7a6d8f095718717b9ccda2801714f336276755dcca127bf.json,
https://wwwc.twse.com.tw/rwd/zh/exRight/TWT49U,SOURCE_TIER_1_EXCHANGE_OPENAPI,2026-08-21T08:55:22.503290653+00:00,936b79e44cfa4833830cce0a57fcafbdcffa7285951d1ae5307ecbd21560061a,200,31,C:\Users\Administrator\OneDrive\Desktop\auto trading\tw-mean-reversion-trader\data\cache\fallback\40d92ca786e2a88c2f444ef052b606c4038bd638dec3ddf0e9e36ba06cf8ebab.json,
https://wwwc.twse.com.tw/rwd/zh/exRight/TWT49U,SOURCE_TIER_1_EXCHANGE_OPENAPI,2026-08-21T08:55:22.890940905+00:00,c8605e38287362f2fa995d0706fb4510e376788a647738b58a7a9d62d4a9e9cd,200,16,C:\Users\Administrator\OneDrive\Desktop\auto trading\tw-mean-reversion-trader\data\cache\fallback\0a30ca48dc42ecc8e7cbbabb979b67fe3f154e7b2ba35e01011c7092dc6ae520.json,
