symbol,exchange,listing_date,delisting_date,price_history_available,included_in_research,exclusion_reason
6457,TPEx,2018-01-02,2025-01-01,True,True,
6287,TPEx,2018-01-02,2025-06-23,True,True,
3202,TPEx,2018-01-02,2025-07-21,True,True,
6589,TPEx,2019-06-28,2025-07-21,True,True,
4945,TPEx,2020-11-20,2025-09-08,True,True,
6747,TPEx,2021-01-19,2025-12-04,True,True,
4987,TPEx,2018-01-02,2026-05-29,True,True,
3426,TPEx,2018-01-02,2026-06-08,True,True,
5236,TPEx,2021-07-29,2026-07-16,True,True,
4130,TPEx,2018-01-02,2026-07-28,True,True,
