train_start,test_start,test_end,selected_tp,Starting Capital,Ending Capital,Total Return,CAGR,Max Drawdown,Average Drawdown,Sharpe Ratio,Sortino Ratio,Capital Utilization,Maximum Concurrent Positions,Win Rate,Profit Factor,Average Trade Return,Median Trade Return,Average Holding Days,Median Holding Days,Trades Per Year,Best Trade,Worst Trade,Average MAE,Median MAE,90th percentile MAE,Average MFE,Median MFE,Take Profit Hit Rate,Thesis Break Exit Rate,Time Exit Rate,Median Days to TP,Percentage Never Reaching TP
2019-01-01,2022-01-01,2022-06-30,0.2,100000.0,97109.03179749999,-0.028909682025000105,-0.058420101894709475,-0.03398443936312112,-0.01690050603413359,-2.103353896193054,-3.561266304196194,0.0777185251977057,1,0.0,0.0,-0.2623699476406257,-0.2623699476406257,90.0,90.0,2.0519662921348316,-0.2623699476406257,-0.2623699476406257,-0.3074610978541109,-0.3074610978541109,-0.3074610978541109,0.0589846834388319,0.0589846834388319,0.0,0.0,1.0,0.0,1.0
2019-07-01,2022-07-01,2022-12-31,0.05,100000.0,100000.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-01,2023-01-01,2023-06-30,0.05,100000.0,100000.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-01,2023-07-01,2023-12-31,0.05,100000.0,100000.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-01,2024-01-01,2024-06-30,0.05,100000.0,100000.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-07-01,2024-07-01,2024-12-31,0.05,100000.0,100000.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-01,2025-01-01,2025-06-30,0.05,100000.0,100941.84550171834,0.009418455017183414,0.019312565114387503,-0.026981303880205476,-0.00748610063782117,0.5706995964573098,0.49144983473018683,0.04542760908899767,1,1.0,inf,0.04282237436652771,0.04282237436652771,25.0,25.0,4.081005586592179,0.042822374366527756,0.042822374366527666,-0.14195574187622467,-0.14195574187622467,-0.22625355993628657,0.05541619258321484,0.05541619258321484,1.0,0.0,0.0,25.0,0.0
2022-07-01,2025-07-01,2025-12-31,0.12,100000.0,100000.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01,2026-01-01,2026-06-30,0.2,100000.0,102166.01056065626,0.02166010560656262,0.04469569933233908,-0.019792314999528382,-0.008156312299983112,1.4112785062562443,1.2267564912965154,0.024164154976565638,1,1.0,inf,0.19277507483739836,0.19277507483739836,24.0,24.0,2.0405027932960893,0.19277507483739836,0.19277507483739836,-0.05886466595434958,-0.05886466595434958,-0.05886466595434958,0.3057980104498901,0.3057980104498901,1.0,0.0,0.0,24.0,0.0
2023-07-01,2026-07-01,2026-08-20,0.15,100000.0,100000.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
