symbol,exchange,first_seen,last_seen,trading_days,source,universe_reason,data_status
2916,TPEx,2018-01-02,2026-08-19,2034,TPEx STK_WN1430,observed in official daily market table,READY
2924,TPEx,2018-01-02,2026-08-19,1569,TPEx STK_WN1430,observed in official daily market table,READY
2926,TPEx,2018-01-02,2026-08-19,2081,TPEx STK_WN1430,observed in official daily market table,READY
2928,TPEx,2018-01-02,2021-10-13,909,TPEx STK_WN1430,observed in official daily market table,READY
2937,TPEx,2018-01-02,2026-08-19,1908,TPEx STK_WN1430,observed in official daily market table,READY
2941,TPEx,2024-03-20,2026-08-19,395,TPEx STK_WN1430,observed in official daily market table,READY
2947,TPEx,2021-10-06,2026-08-18,1078,TPEx STK_WN1430,observed in official daily market table,READY
2948,TPEx,2023-12-12,2026-08-19,502,TPEx STK_WN1430,observed in official daily market table,READY
2949,TPEx,2023-12-15,2026-08-19,538,TPEx STK_WN1430,observed in official daily market table,READY
3064,TPEx,2018-01-02,2026-08-04,1740,TPEx STK_WN1430,observed in official daily market table,READY
3066,TPEx,2018-01-02,2026-08-19,2026,TPEx STK_WN1430,observed in official daily market table,READY
3067,TPEx,2018-01-03,2026-08-19,1655,TPEx STK_WN1430,observed in official daily market table,READY
3068,TPEx,2018-01-02,2018-06-06,100,TPEx STK_WN1430,observed in official daily market table,EXCLUDE_INSUFFICIENT_HISTORY
3071,TPEx,2018-01-02,2026-08-19,2089,TPEx STK_WN1430,observed in official daily market table,READY
3073,TPEx,2018-01-03,2026-08-19,1775,TPEx STK_WN1430,observed in official daily market table,READY
3078,TPEx,2018-01-02,2026-08-19,2095,TPEx STK_WN1430,observed in official daily market table,READY
3081,TPEx,2018-01-02,2026-08-19,2095,TPEx STK_WN1430,observed in official daily market table,READY
3083,TPEx,2018-01-02,2026-08-19,2095,TPEx STK_WN1430,observed in official daily market table,READY
3085,TPEx,2018-01-02,2026-08-19,1904,TPEx STK_WN1430,observed in official daily market table,READY
3086,TPEx,2018-01-02,2026-08-19,1915,TPEx STK_WN1430,observed in official daily market table,READY
3088,TPEx,2018-01-02,2026-08-19,2095,TPEx STK_WN1430,observed in official daily market table,READY
3089,TPEx,2018-01-02,2023-07-19,1193,TPEx STK_WN1430,observed in official daily market table,READY
3093,TPEx,2018-01-03,2026-08-19,2042,TPEx STK_WN1430,observed in official daily market table,READY
3095,TPEx,2018-01-02,2026-08-19,2034,TPEx STK_WN1430,observed in official daily market table,READY
3105,TPEx,2018-01-02,2026-08-19,2095,TPEx STK_WN1430,observed in official daily market table,READY
3114,TPEx,2018-01-02,2026-08-19,2095,TPEx STK_WN1430,observed in official daily market table,READY
3115,TPEx,2018-01-03,2026-08-19,1844,TPEx STK_WN1430,observed in official daily market table,READY
3118,TPEx,2018-01-02,2026-08-19,2067,TPEx STK_WN1430,observed in official daily market table,READY
3122,TPEx,2018-01-02,2026-08-19,2080,TPEx STK_WN1430,observed in official daily market table,READY
3128,TPEx,2018-01-02,2026-08-19,2095,TPEx STK_WN1430,observed in official daily market table,READY
3131,TPEx,2018-01-02,2026-08-19,2094,TPEx STK_WN1430,observed in official daily market table,READY
3141,TPEx,2018-01-02,2026-08-19,2095,TPEx STK_WN1430,observed in official daily market table,READY
3144,TPEx,2018-01-02,2021-12-13,960,TPEx STK_WN1430,observed in official daily market table,READY
3147,TPEx,2018-05-29,2026-08-19,1999,TPEx STK_WN1430,observed in official daily market table,READY
3152,TPEx,2018-01-02,2026-08-19,2090,TPEx STK_WN1430,observed in official daily market table,READY
3158,TPEx,2025-11-17,2026-08-19,179,TPEx STK_WN1430,observed in official daily market table,READY
3162,TPEx,2018-01-02,2026-08-19,2038,TPEx STK_WN1430,observed in official daily market table,READY
3163,TPEx,2018-01-02,2026-08-19,2095,TPEx STK_WN1430,observed in official daily market table,READY
3169,TPEx,2018-01-02,2026-08-19,2088,TPEx STK_WN1430,observed in official daily market table,READY
3171,TPEx,2018-01-02,2026-08-19,2049,TPEx STK_WN1430,observed in official daily market table,READY
3176,TPEx,2018-01-02,2026-08-19,2095,TPEx STK_WN1430,observed in official daily market table,READY
3178,TPEx,2018-11-19,2026-08-19,1879,TPEx STK_WN1430,observed in official daily market table,READY
3188,TPEx,2018-01-02,2026-08-19,2072,TPEx STK_WN1430,observed in official daily market table,READY
3191,TPEx,2018-01-02,2026-08-19,2021,TPEx STK_WN1430,observed in official daily market table,READY
3202,TPEx,2018-01-02,2025-04-02,1758,TPEx STK_WN1430,observed in official daily market table,READY
3205,TPEx,2018-01-02,2026-08-19,2095,TPEx STK_WN1430,observed in official daily market table,READY
3206,TPEx,2018-01-02,2026-08-19,2095,TPEx STK_WN1430,observed in official daily market table,READY
3207,TPEx,2018-01-02,2026-08-19,2009,TPEx STK_WN1430,observed in official daily market table,READY
3211,TPEx,2018-01-02,2026-08-19,2095,TPEx STK_WN1430,observed in official daily market table,READY
3213,TPEx,2018-01-02,2026-08-19,2095,TPEx STK_WN1430,observed in official daily market table,READY
3217,TPEx,2018-01-02,2026-08-19,2095,TPEx STK_WN1430,observed in official daily market table,READY
3218,TPEx,2018-01-02,2026-08-19,2095,TPEx STK_WN1430,observed in official daily market table,READY
3219,TPEx,2018-01-02,2026-08-19,1760,TPEx STK_WN1430,observed in official daily market table,READY
3221,TPEx,2018-01-02,2026-08-19,2095,TPEx STK_WN1430,observed in official daily market table,READY
3224,TPEx,2018-01-02,2026-08-19,2094,TPEx STK_WN1430,observed in official daily market table,READY
3226,TPEx,2018-01-02,2026-08-19,1883,TPEx STK_WN1430,observed in official daily market table,READY
3227,TPEx,2018-01-02,2026-08-19,2095,TPEx STK_WN1430,observed in official daily market table,READY
3228,TPEx,2018-01-02,2026-08-19,2095,TPEx STK_WN1430,observed in official daily market table,READY
3230,TPEx,2018-01-02,2026-08-19,2064,TPEx STK_WN1430,observed in official daily market table,READY
3232,TPEx,2018-01-02,2026-08-19,2095,TPEx STK_WN1430,observed in official daily market table,READY
3234,TPEx,2018-01-02,2026-08-19,2095,TPEx STK_WN1430,observed in official daily market table,READY
3236,TPEx,2018-01-02,2026-08-19,2095,TPEx STK_WN1430,observed in official daily market table,READY
3252,TPEx,2018-01-02,2026-08-19,2090,TPEx STK_WN1430,observed in official daily market table,READY
3259,TPEx,2018-01-02,2026-08-19,2079,TPEx STK_WN1430,observed in official daily market table,READY
3260,TPEx,2018-01-02,2026-08-19,2094,TPEx STK_WN1430,observed in official daily market table,READY
3264,TPEx,2018-01-02,2026-08-19,2095,TPEx STK_WN1430,observed in official daily market table,READY
3265,TPEx,2018-01-02,2026-08-19,2095,TPEx STK_WN1430,observed in official daily market table,READY
3268,TPEx,2018-01-02,2026-08-19,2089,TPEx STK_WN1430,observed in official daily market table,READY
3272,TPEx,2018-01-02,2026-08-19,2095,TPEx STK_WN1430,observed in official daily market table,READY
3276,TPEx,2018-01-02,2026-08-19,2058,TPEx STK_WN1430,observed in official daily market table,READY
3284,TPEx,2018-01-02,2026-08-19,2085,TPEx STK_WN1430,observed in official daily market table,READY
3285,TPEx,2018-01-02,2026-08-19,2092,TPEx STK_WN1430,observed in official daily market table,READY
