symbol,exchange,first_seen,last_seen,trading_days,source,universe_reason,data_status
5452,TPEx,2018-01-02,2026-08-19,2095,TPEx STK_WN1430,observed in official daily market table,READY
5455,TPEx,2018-01-02,2026-08-19,1310,TPEx STK_WN1430,observed in official daily market table,READY
5457,TPEx,2018-01-02,2026-08-19,2095,TPEx STK_WN1430,observed in official daily market table,READY
5460,TPEx,2018-01-02,2026-08-19,2076,TPEx STK_WN1430,observed in official daily market table,READY
5464,TPEx,2018-01-02,2026-08-19,2094,TPEx STK_WN1430,observed in official daily market table,READY
5465,TPEx,2018-01-02,2026-08-19,2086,TPEx STK_WN1430,observed in official daily market table,READY
5468,TPEx,2018-01-02,2026-08-19,1961,TPEx STK_WN1430,observed in official daily market table,READY
5474,TPEx,2018-01-02,2026-08-19,2095,TPEx STK_WN1430,observed in official daily market table,READY
5475,TPEx,2018-01-02,2026-08-19,2088,TPEx STK_WN1430,observed in official daily market table,READY
5478,TPEx,2018-01-02,2026-08-19,2093,TPEx STK_WN1430,observed in official daily market table,READY
5480,TPEx,2018-01-02,2019-03-20,291,TPEx STK_WN1430,observed in official daily market table,READY
5481,TPEx,2018-01-02,2026-08-19,1999,TPEx STK_WN1430,observed in official daily market table,READY
5483,TPEx,2018-01-02,2026-08-19,2094,TPEx STK_WN1430,observed in official daily market table,READY
5487,TPEx,2018-01-02,2026-08-19,1969,TPEx STK_WN1430,observed in official daily market table,READY
5488,TPEx,2018-01-02,2026-08-19,2095,TPEx STK_WN1430,observed in official daily market table,READY
5489,TPEx,2018-01-02,2026-08-19,2090,TPEx STK_WN1430,observed in official daily market table,READY
5490,TPEx,2018-01-02,2026-08-19,2095,TPEx STK_WN1430,observed in official daily market table,READY
5493,TPEx,2018-01-02,2026-08-19,2079,TPEx STK_WN1430,observed in official daily market table,READY
5498,TPEx,2018-01-02,2026-08-19,2095,TPEx STK_WN1430,observed in official daily market table,READY
5508,TPEx,2018-01-02,2026-08-19,2095,TPEx STK_WN1430,observed in official daily market table,READY
5511,TPEx,2018-01-02,2026-08-19,2093,TPEx STK_WN1430,observed in official daily market table,READY
5512,TPEx,2018-01-02,2026-08-19,2095,TPEx STK_WN1430,observed in official daily market table,READY
5514,TPEx,2018-01-02,2026-08-19,1959,TPEx STK_WN1430,observed in official daily market table,READY
5516,TPEx,2018-01-02,2026-08-19,1996,TPEx STK_WN1430,observed in official daily market table,READY
5520,TPEx,2018-01-02,2026-08-17,2016,TPEx STK_WN1430,observed in official daily market table,READY
5523,TPEx,2018-01-02,2026-08-18,2082,TPEx STK_WN1430,observed in official daily market table,READY
5529,TPEx,2018-01-02,2026-08-19,2078,TPEx STK_WN1430,observed in official daily market table,READY
5530,TPEx,2018-01-02,2026-08-19,2095,TPEx STK_WN1430,observed in official daily market table,READY
5536,TPEx,2018-01-02,2026-08-19,2088,TPEx STK_WN1430,observed in official daily market table,READY
5543,TPEx,2018-01-02,2026-08-19,1912,TPEx STK_WN1430,observed in official daily market table,READY
5547,TPEx,2026-02-03,2026-08-19,129,TPEx STK_WN1430,observed in official daily market table,READY
5548,TPEx,2024-03-18,2026-08-19,587,TPEx STK_WN1430,observed in official daily market table,READY
5601,TPEx,2018-01-03,2026-08-19,1500,TPEx STK_WN1430,observed in official daily market table,READY
5603,TPEx,2018-01-02,2026-08-19,2090,TPEx STK_WN1430,observed in official daily market table,READY
5604,TPEx,2018-01-02,2026-08-19,2049,TPEx STK_WN1430,observed in official daily market table,READY
5609,TPEx,2018-01-02,2026-08-19,2095,TPEx STK_WN1430,observed in official daily market table,READY
5701,TPEx,2018-01-02,2026-08-19,2085,TPEx STK_WN1430,observed in official daily market table,READY
5703,TPEx,2018-01-04,2026-08-19,1496,TPEx STK_WN1430,observed in official daily market table,READY
5704,TPEx,2018-01-04,2026-08-19,1865,TPEx STK_WN1430,observed in official daily market table,READY
5820,TPEx,2018-01-02,2022-10-31,1176,TPEx STK_WN1430,observed in official daily market table,READY
5864,TPEx,2018-04-02,2026-08-19,2036,TPEx STK_WN1430,observed in official daily market table,READY
5878,TPEx,2018-01-02,2026-08-19,1800,TPEx STK_WN1430,observed in official daily market table,READY
5902,TPEx,2018-01-02,2026-08-19,2025,TPEx STK_WN1430,observed in official daily market table,READY
5903,TPEx,2018-01-02,2026-08-19,2090,TPEx STK_WN1430,observed in official daily market table,READY
5904,TPEx,2018-01-02,2026-08-19,2088,TPEx STK_WN1430,observed in official daily market table,READY
5905,TPEx,2018-01-02,2026-08-19,2095,TPEx STK_WN1430,observed in official daily market table,READY
6015,TPEx,2018-01-02,2026-08-19,2095,TPEx STK_WN1430,observed in official daily market table,READY
6016,TPEx,2018-01-02,2026-08-19,2095,TPEx STK_WN1430,observed in official daily market table,READY
6020,TPEx,2018-01-02,2026-08-19,2094,TPEx STK_WN1430,observed in official daily market table,READY
6021,TPEx,2018-01-02,2026-08-19,2041,TPEx STK_WN1430,observed in official daily market table,READY
6023,TPEx,2018-01-02,2026-08-19,2095,TPEx STK_WN1430,observed in official daily market table,READY
6026,TPEx,2018-01-02,2026-08-19,2095,TPEx STK_WN1430,observed in official daily market table,READY
6028,TPEx,2026-03-30,2026-08-19,97,TPEx STK_WN1430,observed in official daily market table,EXCLUDE_INSUFFICIENT_HISTORY
6101,TPEx,2018-01-02,2026-08-19,2088,TPEx STK_WN1430,observed in official daily market table,READY
6103,TPEx,2018-01-02,2026-08-13,1202,TPEx STK_WN1430,observed in official daily market table,READY
6104,TPEx,2018-01-02,2026-08-19,2095,TPEx STK_WN1430,observed in official daily market table,READY
6109,TPEx,2018-01-02,2026-08-19,2059,TPEx STK_WN1430,observed in official daily market table,READY
6111,TPEx,2018-01-02,2026-08-19,2095,TPEx STK_WN1430,observed in official daily market table,READY
6113,TPEx,2018-01-02,2026-08-19,2095,TPEx STK_WN1430,observed in official daily market table,READY
6114,TPEx,2018-01-02,2026-08-19,2094,TPEx STK_WN1430,observed in official daily market table,READY
6118,TPEx,2018-01-02,2026-08-19,2095,TPEx STK_WN1430,observed in official daily market table,READY
6121,TPEx,2018-01-02,2026-08-19,2095,TPEx STK_WN1430,observed in official daily market table,READY
6122,TPEx,2018-01-02,2026-08-19,2090,TPEx STK_WN1430,observed in official daily market table,READY
6123,TPEx,2018-01-02,2026-08-19,2095,TPEx STK_WN1430,observed in official daily market table,READY
6124,TPEx,2018-01-02,2026-08-19,2071,TPEx STK_WN1430,observed in official daily market table,READY
6125,TPEx,2018-01-02,2026-08-19,2095,TPEx STK_WN1430,observed in official daily market table,READY
6126,TPEx,2018-01-02,2026-08-19,2094,TPEx STK_WN1430,observed in official daily market table,READY
6127,TPEx,2018-01-02,2026-08-19,2095,TPEx STK_WN1430,observed in official daily market table,READY
6129,TPEx,2018-01-02,2026-08-19,2095,TPEx STK_WN1430,observed in official daily market table,READY
6130,TPEx,2018-01-02,2026-08-19,2055,TPEx STK_WN1430,observed in official daily market table,READY
6134,TPEx,2018-01-02,2026-08-19,2086,TPEx STK_WN1430,observed in official daily market table,READY
6138,TPEx,2018-01-02,2026-08-19,2089,TPEx STK_WN1430,observed in official daily market table,READY
6140,TPEx,2018-01-02,2026-08-19,2014,TPEx STK_WN1430,observed in official daily market table,READY
6143,TPEx,2018-01-02,2026-08-19,2095,TPEx STK_WN1430,observed in official daily market table,READY
6144,TPEx,2018-01-02,2026-08-19,1800,TPEx STK_WN1430,observed in official daily market table,READY
6146,TPEx,2018-01-02,2026-08-19,2095,TPEx STK_WN1430,observed in official daily market table,READY
6147,TPEx,2018-01-02,2026-08-19,2095,TPEx STK_WN1430,observed in official daily market table,READY
6148,TPEx,2018-01-02,2026-08-19,2081,TPEx STK_WN1430,observed in official daily market table,READY
6150,TPEx,2018-01-02,2026-08-19,2095,TPEx STK_WN1430,observed in official daily market table,READY
6151,TPEx,2018-01-02,2026-08-19,2094,TPEx STK_WN1430,observed in official daily market table,READY
6154,TPEx,2018-01-02,2026-08-19,2083,TPEx STK_WN1430,observed in official daily market table,READY
6156,TPEx,2018-01-02,2026-08-19,2095,TPEx STK_WN1430,observed in official daily market table,READY
6158,TPEx,2018-01-02,2026-08-19,2090,TPEx STK_WN1430,observed in official daily market table,READY
6160,TPEx,2018-01-02,2026-08-19,2095,TPEx STK_WN1430,observed in official daily market table,READY
6161,TPEx,2018-01-02,2026-08-19,2082,TPEx STK_WN1430,observed in official daily market table,READY
6163,TPEx,2018-01-02,2026-08-19,2095,TPEx STK_WN1430,observed in official daily market table,READY
6167,TPEx,2018-01-02,2026-08-19,2088,TPEx STK_WN1430,observed in official daily market table,READY
6169,TPEx,2018-01-02,2026-08-19,2087,TPEx STK_WN1430,observed in official daily market table,READY
6170,TPEx,2018-01-02,2026-08-19,2095,TPEx STK_WN1430,observed in official daily market table,READY
6171,TPEx,2018-01-03,2026-08-19,2043,TPEx STK_WN1430,observed in official daily market table,READY
6173,TPEx,2018-01-02,2026-08-19,2095,TPEx STK_WN1430,observed in official daily market table,READY
6174,TPEx,2018-01-02,2026-08-19,2091,TPEx STK_WN1430,observed in official daily market table,READY
6175,TPEx,2018-01-02,2026-08-19,2095,TPEx STK_WN1430,observed in official daily market table,READY
6179,TPEx,2018-01-02,2026-08-19,2094,TPEx STK_WN1430,observed in official daily market table,READY
6180,TPEx,2018-01-02,2026-08-19,2095,TPEx STK_WN1430,observed in official daily market table,READY
6182,TPEx,2018-01-02,2026-08-19,2095,TPEx STK_WN1430,observed in official daily market table,READY
6185,TPEx,2018-01-02,2026-08-19,2095,TPEx STK_WN1430,observed in official daily market table,READY
6186,TPEx,2018-01-02,2026-08-19,2095,TPEx STK_WN1430,observed in official daily market table,READY
6187,TPEx,2018-01-02,2026-08-19,2095,TPEx STK_WN1430,observed in official daily market table,READY
6188,TPEx,2018-01-02,2026-08-19,2095,TPEx STK_WN1430,observed in official daily market table,READY
6190,TPEx,2018-01-02,2026-08-19,2095,TPEx STK_WN1430,observed in official daily market table,READY
6194,TPEx,2018-01-02,2026-08-19,2081,TPEx STK_WN1430,observed in official daily market table,READY
6195,TPEx,2018-01-02,2026-08-18,2082,TPEx STK_WN1430,observed in official daily market table,READY
6198,TPEx,2018-01-02,2026-08-19,1672,TPEx STK_WN1430,observed in official daily market table,READY
6199,TPEx,2018-01-02,2026-08-19,1871,TPEx STK_WN1430,observed in official daily market table,READY
6203,TPEx,2018-01-02,2026-08-19,2095,TPEx STK_WN1430,observed in official daily market table,READY
6204,TPEx,2018-01-02,2026-08-19,2084,TPEx STK_WN1430,observed in official daily market table,READY
6207,TPEx,2018-01-02,2026-08-19,2088,TPEx STK_WN1430,observed in official daily market table,READY
6208,TPEx,2018-01-02,2026-08-19,2088,TPEx STK_WN1430,observed in official daily market table,READY
6210,TPEx,2018-01-02,2026-08-19,2066,TPEx STK_WN1430,observed in official daily market table,READY
6212,TPEx,2018-01-04,2026-08-17,1711,TPEx STK_WN1430,observed in official daily market table,READY
6217,TPEx,2018-01-02,2026-08-19,2095,TPEx STK_WN1430,observed in official daily market table,READY
6218,TPEx,2018-01-02,2026-08-19,2092,TPEx STK_WN1430,observed in official daily market table,READY
6219,TPEx,2018-01-02,2026-08-19,2090,TPEx STK_WN1430,observed in official daily market table,READY
6220,TPEx,2018-01-02,2026-08-19,2095,TPEx STK_WN1430,observed in official daily market table,READY
6221,TPEx,2018-01-02,2026-08-19,2071,TPEx STK_WN1430,observed in official daily market table,READY
6222,TPEx,2018-01-02,2026-08-18,1830,TPEx STK_WN1430,observed in official daily market table,READY
6223,TPEx,2018-01-02,2026-08-19,2095,TPEx STK_WN1430,observed in official daily market table,READY
6227,TPEx,2018-01-02,2026-08-19,2095,TPEx STK_WN1430,observed in official daily market table,READY
6228,TPEx,2018-01-02,2026-08-19,2035,TPEx STK_WN1430,observed in official daily market table,READY
6229,TPEx,2018-01-02,2026-08-19,2093,TPEx STK_WN1430,observed in official daily market table,READY
6231,TPEx,2018-01-02,2026-08-19,2095,TPEx STK_WN1430,observed in official daily market table,READY
6233,TPEx,2018-01-02,2026-08-19,2095,TPEx STK_WN1430,observed in official daily market table,READY
6234,TPEx,2018-01-02,2026-08-19,2095,TPEx STK_WN1430,observed in official daily market table,READY
6236,TPEx,2018-01-02,2026-08-18,1000,TPEx STK_WN1430,observed in official daily market table,READY
6237,TPEx,2018-01-02,2026-08-19,2095,TPEx STK_WN1430,observed in official daily market table,READY
6238,TPEx,2018-01-02,2020-06-10,589,TPEx STK_WN1430,observed in official daily market table,READY
6240,TPEx,2018-01-02,2026-08-19,2029,TPEx STK_WN1430,observed in official daily market table,READY
6241,TPEx,2018-01-02,2026-08-17,2052,TPEx STK_WN1430,observed in official daily market table,READY
6242,TPEx,2018-01-02,2026-08-19,1996,TPEx STK_WN1430,observed in official daily market table,READY
6244,TPEx,2018-01-02,2026-08-19,2088,TPEx STK_WN1430,observed in official daily market table,READY
6245,TPEx,2018-01-02,2026-08-19,2095,TPEx STK_WN1430,observed in official daily market table,READY
6246,TPEx,2018-01-02,2026-08-19,2040,TPEx STK_WN1430,observed in official daily market table,READY
6247,TPEx,2018-01-02,2023-02-01,1052,TPEx STK_WN1430,observed in official daily market table,READY
6248,TPEx,2018-01-02,2026-08-19,2041,TPEx STK_WN1430,observed in official daily market table,READY
6259,TPEx,2018-01-03,2026-08-19,1957,TPEx STK_WN1430,observed in official daily market table,READY
6261,TPEx,2018-01-02,2026-08-19,2095,TPEx STK_WN1430,observed in official daily market table,READY
6263,TPEx,2018-01-02,2026-08-19,2095,TPEx STK_WN1430,observed in official daily market table,READY
6264,TPEx,2018-01-02,2026-08-19,2084,TPEx STK_WN1430,observed in official daily market table,READY
6265,TPEx,2018-01-02,2026-08-19,2094,TPEx STK_WN1430,observed in official daily market table,READY
6266,TPEx,2018-01-02,2026-08-19,2095,TPEx STK_WN1430,observed in official daily market table,READY
6270,TPEx,2018-01-02,2026-08-19,2095,TPEx STK_WN1430,observed in official daily market table,READY
6274,TPEx,2018-01-02,2026-08-19,2095,TPEx STK_WN1430,observed in official daily market table,READY
6275,TPEx,2018-01-02,2026-08-19,2094,TPEx STK_WN1430,observed in official daily market table,READY
6276,TPEx,2018-01-02,2026-08-19,2063,TPEx STK_WN1430,observed in official daily market table,READY
6279,TPEx,2018-01-02,2026-08-19,2095,TPEx STK_WN1430,observed in official daily market table,READY
6284,TPEx,2018-01-02,2026-08-19,2088,TPEx STK_WN1430,observed in official daily market table,READY
6287,TPEx,2018-01-02,2025-06-20,1572,TPEx STK_WN1430,observed in official daily market table,READY
6290,TPEx,2018-01-02,2026-08-19,2095,TPEx STK_WN1430,observed in official daily market table,READY
6291,TPEx,2018-01-02,2026-08-19,1888,TPEx STK_WN1430,observed in official daily market table,READY
6292,TPEx,2018-01-02,2026-08-19,2091,TPEx STK_WN1430,observed in official daily market table,READY
6294,TPEx,2018-01-02,2026-08-19,2093,TPEx STK_WN1430,observed in official daily market table,READY
6298,TPEx,2018-01-02,2018-09-17,172,TPEx STK_WN1430,observed in official daily market table,READY
6404,TPEx,2018-01-02,2023-11-21,1267,TPEx STK_WN1430,observed in official daily market table,READY
6411,TPEx,2018-01-02,2026-08-19,2095,TPEx STK_WN1430,observed in official daily market table,READY
6417,TPEx,2018-01-02,2026-08-19,2007,TPEx STK_WN1430,observed in official daily market table,READY
6418,TPEx,2019-02-18,2026-08-19,1815,TPEx STK_WN1430,observed in official daily market table,READY
6419,TPEx,2018-01-02,2026-08-19,2055,TPEx STK_WN1430,observed in official daily market table,READY
6425,TPEx,2019-01-18,2026-08-19,1829,TPEx STK_WN1430,observed in official daily market table,READY
6432,TPEx,2018-01-02,2026-08-19,2094,TPEx STK_WN1430,observed in official daily market table,READY
6435,TPEx,2018-01-02,2026-08-19,2095,TPEx STK_WN1430,observed in official daily market table,READY
6441,TPEx,2018-01-02,2026-08-19,2085,TPEx STK_WN1430,observed in official daily market table,READY
6457,TPEx,2018-01-02,2024-12-25,1694,TPEx STK_WN1430,observed in official daily market table,READY
6461,TPEx,2018-03-28,2026-08-19,2041,TPEx STK_WN1430,observed in official daily market table,READY
6462,TPEx,2018-01-02,2026-08-19,2094,TPEx STK_WN1430,observed in official daily market table,READY
6465,TPEx,2018-01-02,2026-08-19,2043,TPEx STK_WN1430,observed in official daily market table,READY
6469,TPEx,2018-01-02,2026-08-19,2095,TPEx STK_WN1430,observed in official daily market table,READY
6470,TPEx,2018-01-02,2026-08-19,2095,TPEx STK_WN1430,observed in official daily market table,READY
6474,TPEx,2025-11-25,2026-08-19,176,TPEx STK_WN1430,observed in official daily market table,READY
6482,TPEx,2018-01-02,2026-08-19,1842,TPEx STK_WN1430,observed in official daily market table,READY
6485,TPEx,2018-01-02,2026-08-19,2095,TPEx STK_WN1430,observed in official daily market table,READY
6486,TPEx,2018-01-02,2026-08-19,2090,TPEx STK_WN1430,observed in official daily market table,READY
6488,TPEx,2018-01-02,2026-08-19,2095,TPEx STK_WN1430,observed in official daily market table,READY
6492,TPEx,2018-01-02,2026-08-19,2094,TPEx STK_WN1430,observed in official daily market table,READY
6494,TPEx,2018-01-02,2026-08-19,2094,TPEx STK_WN1430,observed in official daily market table,READY
6496,TPEx,2018-01-02,2026-08-19,2066,TPEx STK_WN1430,observed in official daily market table,READY
6497,TPEx,2018-01-02,2020-08-24,640,TPEx STK_WN1430,observed in official daily market table,READY
6498,TPEx,2025-05-20,2026-08-19,307,TPEx STK_WN1430,observed in official daily market table,READY
6499,TPEx,2018-01-02,2026-08-19,2094,TPEx STK_WN1430,observed in official daily market table,READY
6506,TPEx,2018-01-02,2026-08-19,2091,TPEx STK_WN1430,observed in official daily market table,READY
6508,TPEx,2018-01-02,2026-08-19,2095,TPEx STK_WN1430,observed in official daily market table,READY
6509,TPEx,2018-01-02,2026-08-19,2095,TPEx STK_WN1430,observed in official daily market table,READY
6510,TPEx,2018-01-02,2026-08-19,2095,TPEx STK_WN1430,observed in official daily market table,READY
6512,TPEx,2018-01-02,2026-08-19,2008,TPEx STK_WN1430,observed in official daily market table,READY
6514,TPEx,2018-01-02,2024-10-08,1634,TPEx STK_WN1430,observed in official daily market table,READY
6516,TPEx,2019-05-06,2026-08-19,1774,TPEx STK_WN1430,observed in official daily market table,READY
6517,TPEx,2022-12-15,2026-08-19,887,TPEx STK_WN1430,observed in official daily market table,READY
6523,TPEx,2018-01-02,2026-08-19,2093,TPEx STK_WN1430,observed in official daily market table,READY
6527,TPEx,2019-12-25,2026-08-19,1606,TPEx STK_WN1430,observed in official daily market table,READY
6530,TPEx,2018-01-23,2026-08-19,2067,TPEx STK_WN1430,observed in official daily market table,READY
6532,TPEx,2018-01-02,2026-08-19,2095,TPEx STK_WN1430,observed in official daily market table,READY
6535,TPEx,2018-01-02,2026-08-19,2093,TPEx STK_WN1430,observed in official daily market table,READY
6538,TPEx,2018-01-02,2026-08-19,2078,TPEx STK_WN1430,observed in official daily market table,READY
6542,TPEx,2018-01-02,2026-08-19,1919,TPEx STK_WN1430,observed in official daily market table,READY
6546,TPEx,2022-05-24,2026-08-19,1031,TPEx STK_WN1430,observed in official daily market table,READY
6547,TPEx,2018-04-17,2026-08-19,2029,TPEx STK_WN1430,observed in official daily market table,READY
6548,TPEx,2018-01-02,2026-08-19,2080,TPEx STK_WN1430,observed in official daily market table,READY
6554,TPEx,2018-01-02,2018-05-23,91,TPEx STK_WN1430,observed in official daily market table,EXCLUDE_INSUFFICIENT_HISTORY
6556,TPEx,2018-01-02,2026-08-19,2068,TPEx STK_WN1430,observed in official daily market table,READY
6560,TPEx,2018-01-02,2026-08-19,2093,TPEx STK_WN1430,observed in official daily market table,READY
6561,TPEx,2018-06-05,2026-08-19,1995,TPEx STK_WN1430,observed in official daily market table,READY
6568,TPEx,2018-01-02,2026-08-19,2095,TPEx STK_WN1430,observed in official daily market table,READY
6569,TPEx,2018-01-02,2026-08-19,2083,TPEx STK_WN1430,observed in official daily market table,READY
6570,TPEx,2018-01-02,2026-08-19,2074,TPEx STK_WN1430,observed in official daily market table,READY
6574,TPEx,2018-01-02,2026-08-19,1658,TPEx STK_WN1430,observed in official daily market table,READY
6576,TPEx,2018-06-29,2026-08-19,1979,TPEx STK_WN1430,observed in official daily market table,READY
6577,TPEx,2018-01-02,2026-08-19,2076,TPEx STK_WN1430,observed in official daily market table,READY
6578,TPEx,2018-09-18,2026-08-19,1922,TPEx STK_WN1430,observed in official daily market table,READY
6584,TPEx,2023-05-18,2026-08-19,792,TPEx STK_WN1430,observed in official daily market table,READY
6588,TPEx,2020-07-01,2026-08-19,1484,TPEx STK_WN1430,observed in official daily market table,READY
6590,TPEx,2018-12-24,2026-08-19,1812,TPEx STK_WN1430,observed in official daily market table,READY
6593,TPEx,2018-01-02,2026-08-19,1994,TPEx STK_WN1430,observed in official daily market table,READY
6594,TPEx,2018-01-02,2023-03-23,1261,TPEx STK_WN1430,observed in official daily market table,READY
6596,TPEx,2018-01-04,2026-08-19,2084,TPEx STK_WN1430,observed in official daily market table,READY
6597,TPEx,2025-05-08,2026-08-19,296,TPEx STK_WN1430,observed in official daily market table,READY
6603,TPEx,2018-01-02,2026-08-19,2095,TPEx STK_WN1430,observed in official daily market table,READY
6609,TPEx,2018-01-02,2026-08-19,2095,TPEx STK_WN1430,observed in official daily market table,READY
6612,TPEx,2018-07-18,2026-08-19,1964,TPEx STK_WN1430,observed in official daily market table,READY
6613,TPEx,2018-01-02,2026-08-19,2088,TPEx STK_WN1430,observed in official daily market table,READY
6615,TPEx,2018-01-22,2026-08-19,2032,TPEx STK_WN1430,observed in official daily market table,READY
6616,TPEx,2018-01-10,2026-08-19,2053,TPEx STK_WN1430,observed in official daily market table,READY
6617,TPEx,2024-06-18,2026-08-19,528,TPEx STK_WN1430,observed in official daily market table,READY
6620,TPEx,2025-12-23,2026-08-19,157,TPEx STK_WN1430,observed in official daily market table,READY
6624,TPEx,2019-05-28,2026-08-19,1661,TPEx STK_WN1430,observed in official daily market table,READY
6629,TPEx,2019-06-06,2026-08-19,1597,TPEx STK_WN1430,observed in official daily market table,READY
6637,TPEx,2024-06-18,2026-08-19,528,TPEx STK_WN1430,observed in official daily market table,READY
6640,TPEx,2018-10-23,2026-08-19,1865,TPEx STK_WN1430,observed in official daily market table,READY
6642,TPEx,2019-09-23,2026-08-19,1662,TPEx STK_WN1430,observed in official daily market table,READY
6643,TPEx,2019-01-23,2026-08-19,1835,TPEx STK_WN1430,observed in official daily market table,READY
6649,TPEx,2019-06-05,2026-08-19,1739,TPEx STK_WN1430,observed in official daily market table,READY
6651,TPEx,2021-02-01,2026-08-19,1344,TPEx STK_WN1430,observed in official daily market table,READY
6654,TPEx,2018-10-23,2026-08-19,1850,TPEx STK_WN1430,observed in official daily market table,READY
6661,TPEx,2021-01-27,2026-08-19,1306,TPEx STK_WN1430,observed in official daily market table,READY
6662,TPEx,2019-03-26,2026-08-18,1727,TPEx STK_WN1430,observed in official daily market table,READY
6664,TPEx,2018-09-12,2026-08-19,1926,TPEx STK_WN1430,observed in official daily market table,READY
6667,TPEx,2018-11-13,2026-08-19,1884,TPEx STK_WN1430,observed in official daily market table,READY
6679,TPEx,2019-05-09,2026-08-19,1771,TPEx STK_WN1430,observed in official daily market table,READY
6680,TPEx,2019-09-16,2026-08-19,1401,TPEx STK_WN1430,observed in official daily market table,READY
6683,TPEx,2019-04-23,2026-08-19,1782,TPEx STK_WN1430,observed in official daily market table,READY
6684,TPEx,2021-08-11,2026-08-19,1219,TPEx STK_WN1430,observed in official daily market table,READY
6690,TPEx,2019-10-30,2026-08-19,1650,TPEx STK_WN1430,observed in official daily market table,READY
6692,TPEx,2024-02-02,2026-08-19,610,TPEx STK_WN1430,observed in official daily market table,READY
6693,TPEx,2022-03-01,2026-08-19,1088,TPEx STK_WN1430,observed in official daily market table,READY
6697,TPEx,2019-12-26,2026-08-19,1553,TPEx STK_WN1430,observed in official daily market table,READY
6703,TPEx,2020-10-20,2026-08-19,1417,TPEx STK_WN1430,observed in official daily market table,READY
6708,TPEx,2022-12-29,2026-08-19,861,TPEx STK_WN1430,observed in official daily market table,READY
6712,TPEx,2021-01-08,2026-08-19,1359,TPEx STK_WN1430,observed in official daily market table,READY
6716,TPEx,2020-03-27,2026-08-19,1548,TPEx STK_WN1430,observed in official daily market table,READY
6720,TPEx,2024-12-04,2026-08-19,413,TPEx STK_WN1430,observed in official daily market table,READY
6721,TPEx,2022-04-29,2026-08-19,996,TPEx STK_WN1430,observed in official daily market table,READY
6725,TPEx,2025-12-30,2026-08-19,153,TPEx STK_WN1430,observed in official daily market table,READY
6727,TPEx,2020-12-01,2026-08-19,1387,TPEx STK_WN1430,observed in official daily market table,READY
6728,TPEx,2020-12-25,2026-08-19,1365,TPEx STK_WN1430,observed in official daily market table,READY
6730,TPEx,2025-12-10,2026-08-19,163,TPEx STK_WN1430,observed in official daily market table,READY
6732,TPEx,2020-06-08,2026-08-19,1508,TPEx STK_WN1430,observed in official daily market table,READY
6733,TPEx,2021-01-28,2026-08-19,1346,TPEx STK_WN1430,observed in official daily market table,READY
6735,TPEx,2022-04-29,2026-08-19,1036,TPEx STK_WN1430,observed in official daily market table,READY
6739,TPEx,2024-09-02,2026-08-19,476,TPEx STK_WN1430,observed in official daily market table,READY
6741,TPEx,2021-05-25,2026-08-19,1274,TPEx STK_WN1430,observed in official daily market table,READY
6747,TPEx,2021-01-19,2025-11-26,1158,TPEx STK_WN1430,observed in official daily market table,READY
6751,TPEx,2020-12-25,2026-08-19,1349,TPEx STK_WN1430,observed in official daily market table,READY
6752,TPEx,2020-12-10,2026-08-19,1314,TPEx STK_WN1430,observed in official daily market table,READY
6761,TPEx,2021-11-08,2026-08-19,1159,TPEx STK_WN1430,observed in official daily market table,READY
6762,TPEx,2020-12-18,2026-08-17,1171,TPEx STK_WN1430,observed in official daily market table,READY
6763,TPEx,2022-03-15,2026-08-19,1070,TPEx STK_WN1430,observed in official daily market table,READY
6767,TPEx,2021-01-25,2026-08-19,1331,TPEx STK_WN1430,observed in official daily market table,READY
6785,TPEx,2024-01-24,2026-08-19,620,TPEx STK_WN1430,observed in official daily market table,READY
6788,TPEx,2021-09-29,2026-08-19,1187,TPEx STK_WN1430,observed in official daily market table,READY
6791,TPEx,2022-11-14,2026-08-19,909,TPEx STK_WN1430,observed in official daily market table,READY
6803,TPEx,2018-01-02,2026-08-19,2092,TPEx STK_WN1430,observed in official daily market table,READY
6804,TPEx,2022-03-31,2026-08-19,1058,TPEx STK_WN1430,observed in official daily market table,READY
6811,TPEx,2022-08-09,2026-08-19,977,TPEx STK_WN1430,observed in official daily market table,READY
6821,TPEx,2023-05-22,2026-08-19,790,TPEx STK_WN1430,observed in official daily market table,READY
6823,TPEx,2022-06-30,2026-08-19,998,TPEx STK_WN1430,observed in official daily market table,READY
6829,TPEx,2022-03-11,2026-08-19,1080,TPEx STK_WN1430,observed in official daily market table,READY
6840,TPEx,2023-03-24,2026-08-19,808,TPEx STK_WN1430,observed in official daily market table,READY
6841,TPEx,2023-03-01,2026-08-19,844,TPEx STK_WN1430,observed in official daily market table,READY
6843,TPEx,2022-11-21,2026-08-19,887,TPEx STK_WN1430,observed in official daily market table,READY
6844,TPEx,2024-03-08,2026-08-19,583,TPEx STK_WN1430,observed in official daily market table,READY
6846,TPEx,2023-05-15,2026-08-19,779,TPEx STK_WN1430,observed in official daily market table,READY
6855,TPEx,2022-10-06,2026-08-19,881,TPEx STK_WN1430,observed in official daily market table,READY
6856,TPEx,2023-10-27,2026-08-19,600,TPEx STK_WN1430,observed in official daily market table,READY
6859,TPEx,2022-11-28,2026-08-19,898,TPEx STK_WN1430,observed in official daily market table,READY
6865,TPEx,2023-01-11,2026-08-14,857,TPEx STK_WN1430,observed in official daily market table,READY
