TP,LowPosition,MRProbability,Return,CAGR,Max Drawdown,Sharpe,Win Rate,Profit Factor,Average Holding,Capital Utilization,Trade Count
0.05,0.25,0.65,0.0912713721793707,0.011516703155012,-0.3185636811074229,0.1799011560551425,0.875,1.56823468256389,23.821428571428573,0.0748638320534739,56
0.08,0.25,0.65,-0.0110714790747912,-0.0014585225741089,-0.3242491875605495,0.024414857132331,0.725,0.9557815174948954,38.625,0.0884096115576052,40
0.1,0.25,0.65,-0.0704319639430337,-0.009529371530992,-0.3542339531947062,-0.0781769811547958,0.6206896551724138,0.7223553891868202,52.03448275862069,0.0931831699404361,29
0.12,0.25,0.65,-0.0398772661404988,-0.0053208763082245,-0.3397538964077999,-0.0249198104722053,0.6,0.8534933662624731,52.43333333333333,0.095682203865224,30
0.15,0.25,0.65,-0.0373949902220198,-0.0049841103983842,-0.3497008485679975,-0.0160936544097042,0.5357142857142857,0.8588387405366277,59.142857142857146,0.1028654167869291,28
0.2,0.25,0.65,-0.070655984570049,-0.009560668553027,-0.4115848080366097,-0.0557181903273359,0.4166666666666667,0.7407958916944007,71.625,0.1106120382453844,24
