symbol,entry_date,exit_date,quantity,entry_price,exit_price,target_return,holding_days,exit_reason,fees,tax,net_pnl,return_pct,mae,mfe
6510,2019-02-19,2019-04-02,27,404.40399999999994,464.59953539999987,0.15,28,TP,33.43491102451499,37.63256236739999,1554.2119824080837,0.14213879097286358,-0.035617847499035515,0.2561695730012563
3708,2019-05-13,2019-06-05,128,89.08899999999998,99.67990032,0.12,17,TP,34.431447418367995,38.27708172288,1282.9267118187545,0.1123438659909631,-0.11773621351546082,0.14492249323710027
4943,2019-06-10,2019-06-20,64,184.40503074645994,211.8537195730705,0.15,8,TP,36.13879802914118,40.675914158029535,1679.9013727159054,0.1421387909728637,-0.005060011951782406,0.16956213508091889
6510,2019-05-27,2019-07-01,30,386.38599999999997,443.8995560999999,0.15,24,TP,35.494707523275,39.950960048999995,1649.9610154277234,0.14213879097286355,-0.06311305275035839,0.15687421386903266
3374,2019-05-09,2019-07-05,302,37.787749999999996,42.27995772,0.12,40,TP,34.457138017302,38.30564169432,1283.8839517283795,0.11234386599096302,-0.17168923791440338,0.12337993132695146
3189,2019-08-07,2019-09-10,336,38.3382992362976,42.895956249508664,0.12,22,TP,38.89496152660404,43.23912389950473,1449.2386710128085,0.112343865990963,-0.04534110267809521,0.12420215118242006
6668,2019-05-14,2019-09-23,165,69.11277542114257,66.6365666885376,0.15,90,TIME_EXIT,31.91806406353855,32.985100510826115,-473.4776054541853,-0.04146090099337921,-0.22111784366886744,0.051208755663046945
3081,2019-05-17,2019-09-26,42,268.268,264.735,0.15,90,TIME_EXIT,31.900229550000002,33.35661,-213.64283954999883,-0.018934408849395564,-0.2395664037455082,0.06237046535554014
8069,2019-05-23,2019-10-03,367,31.531499999999998,29.42055,0.15,90,TIME_EXIT,31.876398348749998,32.39202555,-838.987073898752,-0.07239792935426674,-0.1516420087848659,0.13695827981542275
4426,2019-07-15,2019-10-15,233,53.66585589599609,51.25466326904297,0.2,60,TIME_EXIT,34.8362353757721,35.82700962506104,-632.4711270809094,-0.050508944619074535,-0.12767812583439697,0.027293709201829053
3227,2019-07-31,2019-10-18,118,106.60649999999998,122.47487752499997,0.15,51,TP,38.52003363082874,43.35610664384999,1790.59240767532,0.1421387909728636,-0.05259060188637643,0.1631560927335578
6533,2019-09-26,2019-10-29,46,117.11699999999999,134.54986544999997,0.15,20,TP,16.4967630302475,18.5678814321,766.8471662376523,0.14213879097286367,-0.026614411229795798,0.15269346038576814
3081,2019-10-14,2019-10-29,55,244.74449999999996,281.1747188249999,0.15,11,TP,41.218918775409364,46.393828606124984,1916.049287993461,0.14213879097286333,0.0,0.15426495794593964
3708,2019-06-26,2019-11-07,146,83.68359847259521,84.4155,0.12,90,TIME_EXIT,34.97301743722343,36.973988999999996,34.91061656387501,0.0028532898216234496,-0.14439627620018347,0.09937910987573328
2344,2019-11-08,2019-12-10,617,16.571992525100708,19.038733612461947,0.15,22,TP,31.30984068829853,35.240695916667065,1455.4287142969188,0.14213879097286358,-0.04287333296493279,0.15154303566340377
6533,2019-11-12,2019-12-12,115,115.11499999999998,132.24986774999996,0.15,22,TP,40.53691770253124,45.626204373749985,1884.3466691737158,0.14213879097286347,-0.014029448812057366,0.16405333796638155
2439,2019-08-01,2019-12-13,84,149.4205267486572,156.57808268737793,0.2,90,TIME_EXIT,36.62803354949341,39.45767683721924,525.1489884658276,0.041780588701670486,-0.0642690373775261,0.07892105032754482
6150,2019-09-12,2020-02-03,204,68.068,52.147800000000004,0.12,90,TIME_EXIT,34.94673306,31.9144536,-3314.5819866599995,-0.23836208690563293,-0.26397132279485214,0.1135922900628783
8358,2020-02-03,2020-02-12,439,34.93489999999999,38.38996160999999,0.1,7,TP,45.87020030167574,50.55957944036999,1420.3422670479558,0.09248058266969582,-0.02389873736578585,0.10920598026615247
2329,2019-11-07,2020-03-25,675,15.165149618148803,9.390599618911743,0.2,90,TIME_EXIT,23.619561297397613,19.01596422829628,-3940.456775010709,-0.3843949438546242,-0.4718152850074149,0.07483273475611596
6462,2019-11-11,2020-03-27,56,236.73649999999998,155.3445,0.2,90,TIME_EXIT,31.2880638,26.097876000000003,-4615.337939799998,-0.3476416698614178,-0.5057796326295269,0.07714695452539022
2316,2019-11-12,2020-03-30,333,39.92877820205688,25.363498517990113,0.2,90,TIME_EXIT,30.9828176105803,25.338135019472123,-4906.559087424288,-0.3684922423707614,-0.41284342491690973,0.0810915351602588
3035,2019-11-15,2020-04-06,244,54.65459847259521,36.963,0.2,90,TIME_EXIT,31.855438988921357,27.056916,-4375.662382302153,-0.32764899621813254,-0.46665055762605956,0.12341876515049255
3443,2019-12-12,2020-05-04,23,241.74149999999997,236.763,0.2,90,TIME_EXIT,15.6829849875,16.336647,-146.52513198749966,-0.026315682838832944,-0.35881923459563203,0.08380232603835092
6111,2019-12-12,2020-05-04,60,94.4944,66.4335,0.15,90,TIME_EXIT,13.759335449999998,11.958029999999999,-1709.3713654500002,-0.30106527960161217,-0.5856897339948188,0.057205506358048774
3527,2019-12-13,2020-05-05,1,111.61149999999999,94.905,0.2,90,TIME_EXIT,2.0,0.284715,-18.991214999999997,-0.16864365539931533,-0.40149536562092614,0.1423554024450886
3665,2020-02-12,2020-06-23,80,202.90318571472164,211.7687779083252,0.12,90,TIME_EXIT,47.27260385302735,50.82450669799805,611.1502649372633,0.03759678617853526,-0.3861559990712571,0.054367348964854845
