symbol,name,exchange,listing_date,registration,industry_code,preferred_shares,source,instrument_type,is_ky,point_in_time_complete,is_suspended,is_disposition,is_full_cash_delivery,snapshot_date
6875,國邑*,TPEx,2024-03-26,－,22,0,TPEx mopsfin_t187ap03_O,stock,False,False,False,False,False,2026-08-21
6877,鏵友益,TPEx,2023-06-16,－,31,0,TPEx mopsfin_t187ap03_O,stock,False,False,False,False,False,2026-08-21
6881,潤德,TPEx,2024-05-21,－,20,0,TPEx mopsfin_t187ap03_O,stock,False,False,False,False,False,2026-08-21
6884,海柏特,TPEx,2025-12-17,－,30,0,TPEx mopsfin_t187ap03_O,stock,False,False,False,False,False,2026-08-21
6894,衛司特,TPEx,2023-11-29,－,35,0,TPEx mopsfin_t187ap03_O,stock,False,False,False,False,False,2026-08-21
6895,宏碩系統,TPEx,2023-08-22,－,24,0,TPEx mopsfin_t187ap03_O,stock,False,False,False,False,False,2026-08-21
6899,創為精密,TPEx,2024-04-08,－,26,0,TPEx mopsfin_t187ap03_O,stock,False,False,False,False,False,2026-08-21
6903,巨漢,TPEx,2024-06-12,－,31,0,TPEx mopsfin_t187ap03_O,stock,False,False,False,False,False,2026-08-21
6904,伯鑫,TPEx,2023-12-05,－,20,0,TPEx mopsfin_t187ap03_O,stock,False,False,False,False,False,2026-08-21
6907,雅特力-KY,TPEx,2026-01-29,KY 開曼群島,24,0,TPEx mopsfin_t187ap03_O,stock,True,False,False,False,False,2026-08-21
6910,德鴻,TPEx,2025-12-11,－,36,0,TPEx mopsfin_t187ap03_O,stock,False,False,False,False,False,2026-08-21
6913,鴻呈,TPEx,2024-10-01,－,28,0,TPEx mopsfin_t187ap03_O,stock,False,False,False,False,False,2026-08-21
6922,宸曜,TPEx,2023-11-09,－,25,0,TPEx mopsfin_t187ap03_O,stock,False,False,False,False,False,2026-08-21
6925,意藍,TPEx,2025-05-28,－,36,0,TPEx mopsfin_t187ap03_O,stock,False,False,False,False,False,2026-08-21
6929,佑全,TPEx,2024-03-28,－,22,0,TPEx mopsfin_t187ap03_O,stock,False,False,False,False,False,2026-08-21
6945,圓祥生技,TPEx,2026-06-05,－,22,0,TPEx mopsfin_t187ap03_O,stock,False,False,False,False,False,2026-08-21
6953,家碩,TPEx,2024-05-13,－,24,0,TPEx mopsfin_t187ap03_O,stock,False,False,False,False,False,2026-08-21
6961,旅天下,TPEx,2026-01-22,－,16,0,TPEx mopsfin_t187ap03_O,stock,False,False,False,False,False,2026-08-21
6967,汎瑋材料,TPEx,2024-09-25,－,28,0,TPEx mopsfin_t187ap03_O,stock,False,False,False,False,False,2026-08-21
6968,萬達寵物,TPEx,2024-08-14,－,38,0,TPEx mopsfin_t187ap03_O,stock,False,False,False,False,False,2026-08-21
6971,惠民實業,TPEx,2025-10-02,－,35,0,TPEx mopsfin_t187ap03_O,stock,False,False,False,False,False,2026-08-21
6982,大井泵浦,TPEx,2024-12-18,－,05,0,TPEx mopsfin_t187ap03_O,stock,False,False,False,False,False,2026-08-21
6983,華洋精機,TPEx,2026-05-25,－,31,0,TPEx mopsfin_t187ap03_O,stock,False,False,False,False,False,2026-08-21
6986,和迅,TPEx,2026-06-26,－,22,0,TPEx mopsfin_t187ap03_O,stock,False,False,False,False,False,2026-08-21
6996,力領科技,TPEx,2024-12-10,－,24,0,TPEx mopsfin_t187ap03_O,stock,False,False,False,False,False,2026-08-21
6997,博弘,TPEx,2024-12-16,－,36,0,TPEx mopsfin_t187ap03_O,stock,False,False,False,False,False,2026-08-21
7402,邑錡,TPEx,2015-12-29,－,26,0,TPEx mopsfin_t187ap03_O,stock,False,False,False,False,False,2026-08-21
7547,碩網,TPEx,2025-07-29,－,36,0,TPEx mopsfin_t187ap03_O,stock,False,False,False,False,False,2026-08-21
7556,意德士科技,TPEx,2020-10-30,－,24,0,TPEx mopsfin_t187ap03_O,stock,False,False,False,False,False,2026-08-21
7584,樂意,TPEx,2024-07-25,－,32,0,TPEx mopsfin_t187ap03_O,stock,False,False,False,False,False,2026-08-21
7642,昶瑞機電,TPEx,2025-05-22,－,05,0,TPEx mopsfin_t187ap03_O,stock,False,False,False,False,False,2026-08-21
7703,銳澤,TPEx,2024-11-13,－,31,0,TPEx mopsfin_t187ap03_O,stock,False,False,False,False,False,2026-08-21
7704,明遠精密,TPEx,2024-12-16,－,24,0,TPEx mopsfin_t187ap03_O,stock,False,False,False,False,False,2026-08-21
7708,全家餐飲,TPEx,2024-11-15,－,16,0,TPEx mopsfin_t187ap03_O,stock,False,False,False,False,False,2026-08-21
7709,榮田,TPEx,2025-02-25,－,05,0,TPEx mopsfin_t187ap03_O,stock,False,False,False,False,False,2026-08-21
7712,博盛半導體,TPEx,2024-12-26,－,24,0,TPEx mopsfin_t187ap03_O,stock,False,False,False,False,False,2026-08-21
7713,威力德生醫,TPEx,2025-02-24,－,22,0,TPEx mopsfin_t187ap03_O,stock,False,False,False,False,False,2026-08-21
7714,創泓科技,TPEx,2025-01-15,－,36,0,TPEx mopsfin_t187ap03_O,stock,False,False,False,False,False,2026-08-21
7715,裕山,TPEx,2025-01-15,－,35,0,TPEx mopsfin_t187ap03_O,stock,False,False,False,False,False,2026-08-21
7716,昱臺國際,TPEx,2025-10-28,－,15,0,TPEx mopsfin_t187ap03_O,stock,False,False,False,False,False,2026-08-21
7717,萊德光電-KY,TPEx,2025-11-17,KY 開曼群島,27,0,TPEx mopsfin_t187ap03_O,stock,True,False,False,False,False,2026-08-21
7718,友鋮,TPEx,2025-03-18,－,05,0,TPEx mopsfin_t187ap03_O,stock,False,False,False,False,False,2026-08-21
7723,築間,TPEx,2025-04-30,－,16,0,TPEx mopsfin_t187ap03_O,stock,False,False,False,False,False,2026-08-21
7728,光焱科技,TPEx,2025-03-06,－,31,0,TPEx mopsfin_t187ap03_O,stock,False,False,False,False,False,2026-08-21
7734,印能科技,TPEx,2025-02-26,－,24,0,TPEx mopsfin_t187ap03_O,stock,False,False,False,False,False,2026-08-21
7738,東聯互動,TPEx,2025-10-16,－,36,0,TPEx mopsfin_t187ap03_O,stock,False,False,False,False,False,2026-08-21
7743,金利食安,TPEx,2025-05-20,－,02,0,TPEx mopsfin_t187ap03_O,stock,False,False,False,False,False,2026-08-21
7744,崴寶,TPEx,2025-11-27,－,28,0,TPEx mopsfin_t187ap03_O,stock,False,False,False,False,False,2026-08-21
7747,昕奇雲端,TPEx,2025-07-11,－,36,0,TPEx mopsfin_t187ap03_O,stock,False,False,False,False,False,2026-08-21
7751,竑騰,TPEx,2025-08-26,－,24,0,TPEx mopsfin_t187ap03_O,stock,False,False,False,False,False,2026-08-21
7753,星亞,TPEx,2025-08-11,－,26,0,TPEx mopsfin_t187ap03_O,stock,False,False,False,False,False,2026-08-21
7757,金色三麥,TPEx,2025-10-20,－,16,0,TPEx mopsfin_t187ap03_O,stock,False,False,False,False,False,2026-08-21
7767,仁大資訊,TPEx,2025-12-10,－,30,0,TPEx mopsfin_t187ap03_O,stock,False,False,False,False,False,2026-08-21
7770,君曜,TPEx,2025-12-10,－,24,0,TPEx mopsfin_t187ap03_O,stock,False,False,False,False,False,2026-08-21
7772,耀穎,TPEx,2026-05-08,－,24,0,TPEx mopsfin_t187ap03_O,stock,False,False,False,False,False,2026-08-21
