TP,LowPosition,MRProbability,Return,CAGR,Max Drawdown,Sharpe,Win Rate,Profit Factor,Average Holding,Capital Utilization,Trade Count
0.05,0.1,0.55,0.09115227681243288,0.01150222994486505,-0.2829136677782238,0.19505183725058803,0.9032258064516129,1.9983545037279435,22.870967741935484,0.035397611202395374,31
0.08,0.1,0.55,-0.03155947193538278,-0.004195378441658626,-0.3369477012862847,-0.014554408687764043,0.6666666666666666,0.7947286839267583,40.57142857142857,0.05008683927197898,21
0.1,0.1,0.55,0.0396355493466507,0.005108967468390624,-0.3224378047134625,0.10754388439290546,0.7142857142857143,1.334450767542387,39.714285714285715,0.046115909411323444,21
0.12,0.1,0.55,0.046793788898191524,0.006013557639541478,-0.32943579031260084,0.11872219610388332,0.6666666666666666,1.3731584806248813,43.666666666666664,0.05076185772561489,21
0.15,0.1,0.55,-0.029885469023251177,-0.003969881534243491,-0.3095526908618882,-0.023142543051286896,0.5555555555555556,0.8306366611280304,55.388888888888886,0.055519301290878745,18
0.2,0.1,0.55,-0.06145635302721797,-0.008280784484071657,-0.32057058870636446,-0.0876130227947013,0.47058823529411764,0.6980461923740185,62.470588235294116,0.05987814166395819,17
0.05,0.1,0.6,0.07975418101096876,0.010110669014437468,-0.28228969585849206,0.17760736077122544,0.9259259259259259,1.9708393114265892,22.333333333333332,0.029627851030677492,27
0.08,0.1,0.6,0.0682370644533945,0.008691551919020046,-0.339932088686838,0.14453918420884446,0.7222222222222222,1.6384292995406238,38.888888888888886,0.03667934986076009,18
0.1,0.1,0.6,0.015897586629450844,0.0020699504216072917,-0.33252010318826597,0.06697212993961978,0.7058823529411765,1.1469514359442579,40.411764705882355,0.03773854181139363,17
0.12,0.1,0.6,0.024542532741456125,0.003183781768398619,-0.32406824554003233,0.08172629330979955,0.6470588235294118,1.214472949839752,45.05882352941177,0.042154191636762386,17
0.15,0.1,0.6,-0.05847698001845447,-0.007868620479133615,-0.3506420471278099,-0.06382079664266271,0.46153846153846156,0.6415458015755955,60.07692307692308,0.047307494589778044,13
0.2,0.1,0.6,-0.0809711932464855,-0.011008914184957086,-0.3246288947496987,-0.12901499283509116,0.42857142857142855,0.5497341288162563,64.5,0.04914530122819761,14
0.05,0.1,0.65,-0.2419755107788455,-0.03566875352982335,-0.312121971897657,-0.25751235789622906,0.7663551401869159,0.6153547718755598,33.78504672897196,0.2104130154418281,107
0.08,0.1,0.65,-0.05268218761145793,-0.00707020882838405,-0.2823280451859549,-0.07052691884600513,0.6470588235294118,0.626710922514038,39.705882352941174,0.037620524957833246,17
0.1,0.1,0.65,-0.049314140651168126,-0.006608104288953198,-0.31790847047375914,-0.051860750150438936,0.5714285714285714,0.6009067161816831,49.857142857142854,0.03978821082046724,14
0.12,0.1,0.65,-0.053294528399457364,-0.007154376852477329,-0.31964315347303873,-0.059087984664923515,0.5,0.5893681815921452,54.0,0.043290457578475224,14
