TP,LowPosition,MRProbability,Return,CAGR,Max Drawdown,Sharpe,Win Rate,Profit Factor,Average Holding,Capital Utilization,Trade Count
0.05,0.1,0.55,0.07652391843746886,0.008583929441250193,-0.2520393495171339,0.17308020738260194,0.9142857142857143,1.8321715088843742,19.17142857142857,0.03073645406785493,35
0.08,0.1,0.55,0.029722416618404468,0.0034008523184412276,-0.3256456795181346,0.08542317919502586,0.7272727272727273,1.2525055573278754,39.77272727272727,0.04078330015861135,22
0.1,0.1,0.55,0.049691011292462894,0.005637254072912157,-0.32662483894505534,0.11635256838300423,0.7272727272727273,1.4165323894875401,40.77272727272727,0.04179999417626357,22
0.12,0.1,0.55,0.06011967280940422,0.006790310744087424,-0.3328777716779141,0.13146588694275785,0.6818181818181818,1.4755549713735854,44.36363636363637,0.04523691907961892,22
0.15,0.1,0.55,-0.004857212249947285,-0.0005642391575030326,-0.3523108216904558,0.030270754476821808,0.5555555555555556,0.9730230570174405,54.27777777777778,0.05247910437414315,18
0.2,0.1,0.55,-0.05467334860670847,-0.0064961327533183955,-0.3152429379216901,-0.06636740688013422,0.4444444444444444,0.7430416192429502,63.05555555555556,0.057237075943338794,18
0.05,0.1,0.6,0.04339657832371735,0.004936392403003476,-0.2552046761481388,0.11579111854085752,0.9259259259259259,1.5259256518111461,19.185185185185187,0.023380342460336524,27
0.08,0.1,0.6,-0.007419222057277852,-0.0008628371333498919,-0.33757227212590724,0.024473207240674096,0.7058823529411765,0.9340972932262407,42.23529411764706,0.03283996008009572,17
0.1,0.1,0.6,-0.012122429794149792,-0.0014127661668346114,-0.31411325186015215,0.015651403094817242,0.6875,0.8936652894751798,45.0625,0.03280668289800282,16
0.12,0.1,0.6,0.012435690850658654,0.0014336276666844228,-0.3128954556214405,0.05697913763655746,0.6875,1.1086219160213486,47.0625,0.03430501035589819,16
0.15,0.1,0.6,-0.025230941134579243,-0.002957804837208755,-0.31220837839494475,-0.014453519187463999,0.5714285714285714,0.8252417991359108,57.07142857142857,0.0354201019152785,14
0.2,0.1,0.6,-0.001441135528909343,-0.0001671565785313911,-0.35242294445708056,0.03499157757021137,0.5384615384615384,0.991095672773625,61.53846153846154,0.041892876879037255,13
0.05,0.1,0.65,-0.2220254858833003,-0.028682558185602502,-0.3161991721770191,-0.2088178608033879,0.7522935779816514,0.6417884349015562,35.091743119266056,0.19536406710163898,109
0.08,0.1,0.65,-0.08091024549750658,-0.009732302700248496,-0.32227728772450903,-0.11052057193723502,0.5384615384615384,0.4293185437081363,53.15384615384615,0.03153759198962852,13
0.1,0.1,0.65,-0.08756557215605976,-0.010566176144386374,-0.32607669314776744,-0.11869959681097624,0.5,0.38679115020586,59.5,0.03314182698167991,12
0.12,0.1,0.65,-0.07673612302184629,-0.009212029534146349,-0.3247396557881643,-0.09836899153124645,0.5,0.4623522692569045,60.833333333333336,0.03406654735811922,12
0.15,0.1,0.65,-0.1040247096609187,-0.012651736154964732,-0.3364468774130105,-0.14772929314258093,0.36363636363636365,0.38747849760602737,67.72727272727273,0.03493446666934235,11
0.2,0.1,0.65,-0.09848469274851679,-0.011945998664590007,-0.3362243958549841,-0.13673662638239928,0.36363636363636365,0.42580063534112034,72.27272727272727,0.03830415485798889,11
0.05,0.1,0.7,-0.275523409901985,-0.036670983724128914,-0.35539610631285357,-0.31033199353780855,0.78,0.5806999209302337,30.81,0.16467470385655042,100
0.08,0.1,0.7,-0.319669810610018,-0.043665966260594935,-0.36438740267117586,-0.3587494639151498,0.6419753086419753,0.5672756680077072,42.876543209876544,0.1881992338384517,81
0.1,0.1,0.7,-0.2348548355611213,-0.03055293696748973,-0.3312442630597915,-0.23620053622181802,0.5714285714285714,0.6048416321693451,53.01587301587302,0.17843774408876753,63
0.12,0.1,0.7,-0.2070520298916052,-0.026533771068592782,-0.2939255363919159,-0.19898265513492785,0.5737704918032787,0.6486124345984335,55.459016393442624,0.2611122003088415,61
0.15,0.1,0.7,0.0019217034662621924,0.00022256637955098135,-0.2542637675004056,0.032727682777937014,0.625,1.0266500183573026,63.5,0.023759532538612193,8
0.2,0.1,0.7,0.009421925480112447,0.0010876260381538216,-0.2562484484682982,0.048585667613987735,0.625,1.1266564802721688,67.625,0.025816206108499235,8
0.05,0.1,0.75,-0.16544826075482455,-0.02074632593924708,-0.3093129551113457,-0.20177618047723758,0.8229166666666666,0.6961932990558914,25.21875,0.12444447627522352,96
0.08,0.1,0.75,-0.15685689829192528,-0.019583063462805916,-0.2870323004912815,-0.16303745894960278,0.7162162162162162,0.7265176599599011,39.16216216216216,0.1465247648460702,74
0.1,0.1,0.75,-0.1109646557722137,-0.01354127302445729,-0.25108520755139685,-0.10576496743521606,0.6666666666666666,0.7729238426963113,46.0,0.13979363691788463,60
0.12,0.1,0.75,-0.062472917254960514,-0.007449783479905436,-0.26853650677912033,-0.03186778845244882,0.625,0.8555709710698539,53.482142857142854,0.22924203745765379,56
0.15,0.1,0.75,-0.09364253598670225,-0.011332294092221362,-0.2517160915607666,-0.05637431696911767,0.582089552238806,0.835316782397848,59.55223880597015,0.2812698891434559,67
0.2,0.1,0.75,-0.1250824972897071,-0.015369956264951967,-0.3071808455913694,-0.10455543186214869,0.5217391304347826,0.7466007695832199,67.97826086956522,0.2474797069916037,46
0.05,0.15,0.55,0.0869220592409683,0.00970837601133967,-0.27006552878412815,0.18447126209964781,0.8928571428571429,1.5085419044384123,22.5,0.06104925476873286,56
0.08,0.15,0.55,0.023546297677925265,0.0027013872385466264,-0.2955681930907538,0.07546706822971044,0.7692307692307693,1.1051408724626872,37.43589743589744,0.07675392651877612,39
