date,symbol,exchange,status,source
2019-01-08,6289,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-08,9157,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-08,9928,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-09,1418,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-09,1475,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-09,1512,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-09,1529,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-09,2321,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-09,2364,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-09,2475,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-09,3043,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-09,3051,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-09,3383,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-09,3519,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-09,5259,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-09,6225,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-09,6289,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-09,9157,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-09,9928,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-10,1418,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-10,1475,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-10,1512,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-10,1529,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-10,2321,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-10,2364,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-10,2475,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-10,3043,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-10,3051,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-10,3383,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-10,3519,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-10,5259,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-10,6225,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-10,6289,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-10,9157,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-10,9928,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-11,1418,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-11,1475,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-11,1512,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-11,1529,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-11,2321,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-11,2364,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-11,2475,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-11,3043,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-11,3051,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-11,3383,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-11,3519,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-11,5259,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-11,6225,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-11,6289,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-11,9157,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-11,9928,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-14,1418,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-14,1475,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-14,1512,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-14,1529,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-14,2321,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-14,2364,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-14,2475,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-14,3043,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-14,3051,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-14,3383,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-14,3519,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-14,5259,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-14,6225,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-14,6289,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-14,9157,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-14,9928,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-15,1418,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-15,1475,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-15,1512,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-15,1529,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-15,2321,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-15,2364,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-15,2475,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-15,3043,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-15,3051,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-15,3383,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-15,3519,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-15,5259,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-15,6225,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-15,6289,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-15,9157,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-15,9928,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-16,1418,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-16,1475,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-16,1512,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-16,1529,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-16,2321,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-16,2364,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-16,2475,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-16,3043,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-16,3051,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-16,3383,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-16,3519,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-16,5259,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-16,6225,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-16,6289,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-16,9157,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-16,9928,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-17,1418,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-17,1475,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-17,1512,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-17,1529,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-17,2321,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-17,2364,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-17,2475,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-17,3043,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-17,3051,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-17,3383,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-17,3519,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-17,5259,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-17,6225,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-17,6289,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-17,9157,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-17,9928,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-18,1418,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-18,1475,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-18,1512,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-18,1529,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-18,2321,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-18,2364,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-18,2475,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-18,3043,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-18,3051,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
2019-01-18,3383,TWSE,FULL_CASH_DELIVERY,TWSE_TWT85U
