date,symbol,close,oscillation_score,low_score,historical_events,mr_probability,regime_risk_score,final_score,candidate,rejection_reason
2026-08-19,1101,24.049999237060547,73.91445970286117,0.0,13,0.07692307692307693,20.0,36.482030218550655,False,LOW_ZONE
2026-08-19,1102,33.79999923706055,66.87887930914992,0.0,14,0.2857142857142857,20.0,40.635092364173545,False,LOW_ZONE
2026-08-19,1103,13.050000190734863,58.1685017513849,44.85892306123229,21,0.14285714285714285,20.0,44.950995576437826,False,LIQUIDITY
2026-08-19,1104,26.399999618530273,53.65692377188462,70.85778590712243,16,0.1875,20.0,51.43652360834599,False,LIQUIDITY
2026-08-19,1108,11.699999809265137,25.810237424785562,86.38035893991265,18,0.2222222222222222,50.0,43.504827629080495,False,LIQUIDITY
2026-08-19,1109,13.550000190734863,31.656204890401817,60.6407702439164,9,0.3333333333333333,50.0,42.157054028099644,False,LIQUIDITY
2026-08-19,1110,15.899999618530273,54.69676622616675,1.8984916129347718,36,0.3611111111111111,20.0,39.716986104417046,False,LIQUIDITY
2026-08-19,1201,12.300000190734863,56.30541770673308,0.0,11,0.2727272727272727,20.0,37.0734434938381,False,LIQUIDITY
2026-08-19,1203,42.79999923706055,97.87149633445685,53.38824867135982,12,0.16666666666666666,20.0,59.708511068177,False,LIQUIDITY
2026-08-19,1210,52.79999923706055,58.42271125260885,32.44164166003711,10,0.2,20.0,43.637223790791936,False,OSCILLATION
2026-08-19,1213,7.300000190734863,73.98431738995512,32.178349622551124,67,0.373134328358209,50.0,48.93391247337058,False,OFFICIAL_STATUS
2026-08-19,1215,109.0,35.0,15.696202531645568,13,0.3076923076923077,50.0,31.154819863680622,False,OSCILLATION
2026-08-19,1216,77.5,57.34197873629833,0.0,9,0.3333333333333333,20.0,39.202593620889495,False,OSCILLATION
2026-08-19,1217,9.930000305175781,40.28193247943548,0.0,20,0.2,20.0,30.084579743830645,False,LIQUIDITY
2026-08-19,1218,14.25,35.71190515722872,95.33737146234894,25,0.28,50.0,50.44791441275585,False,LIQUIDITY
2026-08-19,1219,11.0,59.42535247584587,29.18977402832706,14,0.21428571428571427,50.0,39.05362067840696,False,LIQUIDITY
2026-08-19,1220,10.899999618530273,24.744122499757005,90.63699381251413,17,0.11764705882352941,20.0,45.61189696776152,False,LIQUIDITY
2026-08-19,1225,24.0,56.94106371739497,69.53376132319657,36,0.3611111111111111,50.0,52.79909277935096,False,LIQUIDITY
2026-08-19,1227,28.899999618530273,56.26517704252243,0.0,8,0.125,20.0,32.629553112756724,False,OSCILLATION
2026-08-19,1229,41.45000076293945,66.64464507168901,0.0,9,0.2222222222222222,20.0,38.66006018817337,False,LOW_ZONE
2026-08-19,1231,83.9000015258789,41.76780587073738,0.0,9,0.4444444444444444,20.0,37.863675094554544,False,OSCILLATION
2026-08-19,1232,155.0,62.88024164889836,0.0,4,0.0,20.0,30.864072494669507,False,LIQUIDITY
2026-08-19,1233,27.549999237060547,53.67888278960193,68.38451139383238,1,0.0,20.0,45.19979268533868,False,LIQUIDITY
2026-08-19,1234,33.25,55.61403236209816,51.08454722556689,0,,20.0,41.45534651502117,False,LIQUIDITY
2026-08-19,1235,35.099998474121094,59.72021744529424,82.52241825957621,29,0.4827586206896552,50.0,60.52942841917198,False,LIQUIDITY
2026-08-19,1236,25.350000381469727,61.59681525633131,0.0,21,0.42857142857142855,20.0,43.33618743404225,False,LIQUIDITY
2026-08-19,1240,57.1,57.695852534562206,0.0,15,0.06666666666666667,20.0,31.308755760368662,False,LIQUIDITY
2026-08-19,1256,176.0,84.969727811149,52.31089331310222,38,0.47368421052631576,20.0,64.77916798740972,False,LIQUIDITY
2023-05-31,1258,26.85,45.0,,9,0.6666666666666666,0.0,,False,DATA_QUALITY
2026-08-17,1259,65.6,67.5,,0,,20.0,,False,DATA_QUALITY
2019-10-07,1262,39.85,52.5,,15,0.4666666666666667,0.0,,False,LIQUIDITY
2026-08-19,1264,256.0,29.962406015037594,52.378346211651404,0,,20.0,34.08330835742413,False,LIQUIDITY
2026-08-19,1268,181.5,35.476190476190474,0.0,8,0.375,20.0,33.89285714285714,False,LIQUIDITY
2026-08-19,1294,56.8,59.011791271383665,32.254695164474796,6,0.0,50.0,33.2672111725338,False,LIQUIDITY
2026-08-19,1295,45.85,67.08325920654688,74.66842222556298,12,0.08333333333333333,50.0,48.79208331835481,False,LIQUIDITY
2026-08-19,1301,56.79999923706055,92.17935392874615,0.0,21,0.6190476190476191,20.0,58.225234750052415,False,LOW_ZONE
2026-08-19,1303,187.5,85.51811624575296,0.0,21,0.42857142857142855,20.0,50.51257773086874,False,LOW_ZONE
2026-08-19,1304,11.800000190734863,93.95728218636313,23.72299878249781,45,0.5333333333333333,20.0,62.11793435153339,False,LOW_ZONE
2026-08-19,1305,11.75,91.57760531378797,6.63581177185694,51,0.5098039215686274,50.0,51.92635218415945,False,LIQUIDITY
