symbol,exchange,first_seen,last_seen,trading_days,source
3066,TPEx,2018-01-02,2026-08-19,2026,TPEX_DAILY_QUOTES
3067,TPEx,2018-01-03,2026-08-19,1655,TPEX_DAILY_QUOTES
3068,TPEx,2018-01-02,2018-06-06,100,TPEX_DAILY_QUOTES
3071,TPEx,2018-01-02,2026-08-19,2089,TPEX_DAILY_QUOTES
3073,TPEx,2018-01-03,2026-08-19,1775,TPEX_DAILY_QUOTES
3078,TPEx,2018-01-02,2026-08-19,2095,TPEX_DAILY_QUOTES
3081,TPEx,2018-01-02,2026-08-19,2095,TPEX_DAILY_QUOTES
3083,TPEx,2018-01-02,2026-08-19,2095,TPEX_DAILY_QUOTES
3085,TPEx,2018-01-02,2026-08-19,1904,TPEX_DAILY_QUOTES
3086,TPEx,2018-01-02,2026-08-19,1915,TPEX_DAILY_QUOTES
3088,TPEx,2018-01-02,2026-08-19,2095,TPEX_DAILY_QUOTES
3089,TPEx,2018-01-02,2023-07-19,1193,TPEX_DAILY_QUOTES
3092,TPEx,2018-01-02,2021-05-12,812,TPEX_DAILY_QUOTES
3093,TPEx,2018-01-03,2026-08-19,2042,TPEX_DAILY_QUOTES
3095,TPEx,2018-01-02,2026-08-19,2034,TPEX_DAILY_QUOTES
3105,TPEx,2018-01-02,2026-08-19,2095,TPEX_DAILY_QUOTES
3114,TPEx,2018-01-02,2026-08-19,2095,TPEX_DAILY_QUOTES
3115,TPEx,2018-01-03,2026-08-19,1844,TPEX_DAILY_QUOTES
3118,TPEx,2018-01-02,2026-08-19,2067,TPEX_DAILY_QUOTES
3122,TPEx,2018-01-02,2026-08-19,2080,TPEX_DAILY_QUOTES
3128,TPEx,2018-01-02,2026-08-19,2095,TPEX_DAILY_QUOTES
3131,TPEx,2018-01-02,2026-08-19,2094,TPEX_DAILY_QUOTES
3141,TPEx,2018-01-02,2026-08-19,2095,TPEX_DAILY_QUOTES
3144,TPEx,2018-01-02,2021-12-13,960,TPEX_DAILY_QUOTES
3147,TPEx,2018-05-29,2026-08-19,1999,TPEX_DAILY_QUOTES
3152,TPEx,2018-01-02,2026-08-19,2090,TPEX_DAILY_QUOTES
3158,TPEx,2025-11-17,2026-08-19,179,TPEX_STK_WN1430
3162,TPEx,2018-01-02,2026-08-19,2038,TPEX_DAILY_QUOTES
3163,TPEx,2018-01-02,2026-08-19,2095,TPEX_DAILY_QUOTES
3169,TPEx,2018-01-02,2026-08-19,2088,TPEX_DAILY_QUOTES
3171,TPEx,2018-01-02,2026-08-19,2049,TPEX_DAILY_QUOTES
3176,TPEx,2018-01-02,2026-08-19,2095,TPEX_DAILY_QUOTES
3178,TPEx,2018-11-19,2026-08-19,1879,TPEX_STK_WN1430
3188,TPEx,2018-01-02,2026-08-19,2072,TPEX_DAILY_QUOTES
3191,TPEx,2018-01-02,2026-08-19,2021,TPEX_DAILY_QUOTES
3202,TPEx,2018-01-02,2025-04-02,1758,TPEX_DAILY_QUOTES
3205,TPEx,2018-01-02,2026-08-19,2095,TPEX_DAILY_QUOTES
3206,TPEx,2018-01-02,2026-08-19,2095,TPEX_DAILY_QUOTES
3207,TPEx,2018-01-02,2026-08-19,2009,TPEX_DAILY_QUOTES
3211,TPEx,2018-01-02,2026-08-19,2095,TPEX_DAILY_QUOTES
3213,TPEx,2018-01-02,2026-08-19,2095,TPEX_DAILY_QUOTES
3217,TPEx,2018-01-02,2026-08-19,2095,TPEX_DAILY_QUOTES
3218,TPEx,2018-01-02,2026-08-19,2095,TPEX_DAILY_QUOTES
3219,TPEx,2018-01-02,2026-08-19,1760,TPEX_DAILY_QUOTES
3221,TPEx,2018-01-02,2026-08-19,2095,TPEX_DAILY_QUOTES
3224,TPEx,2018-01-02,2026-08-19,2094,TPEX_DAILY_QUOTES
3226,TPEx,2018-01-02,2026-08-19,1883,TPEX_DAILY_QUOTES
3227,TPEx,2018-01-02,2026-08-19,2095,TPEX_DAILY_QUOTES
3228,TPEx,2018-01-02,2026-08-19,2095,TPEX_DAILY_QUOTES
3230,TPEx,2018-01-02,2026-08-19,2064,TPEX_DAILY_QUOTES
3232,TPEx,2018-01-02,2026-08-19,2095,TPEX_DAILY_QUOTES
3234,TPEx,2018-01-02,2026-08-19,2095,TPEX_DAILY_QUOTES
3236,TPEx,2018-01-02,2026-08-19,2095,TPEX_DAILY_QUOTES
3252,TPEx,2018-01-02,2026-08-19,2090,TPEX_DAILY_QUOTES
3259,TPEx,2018-01-02,2026-08-19,2079,TPEX_DAILY_QUOTES
3260,TPEx,2018-01-02,2026-08-19,2094,TPEX_DAILY_QUOTES
3264,TPEx,2018-01-02,2026-08-19,2095,TPEX_DAILY_QUOTES
3265,TPEx,2018-01-02,2026-08-19,2095,TPEX_DAILY_QUOTES
3268,TPEx,2018-01-02,2026-08-19,2089,TPEX_DAILY_QUOTES
3272,TPEx,2018-01-02,2026-08-19,2095,TPEX_DAILY_QUOTES
3276,TPEx,2018-01-02,2026-08-19,2058,TPEX_DAILY_QUOTES
3284,TPEx,2018-01-02,2026-08-19,2085,TPEX_DAILY_QUOTES
3285,TPEx,2018-01-02,2026-08-19,2092,TPEX_DAILY_QUOTES
3287,TPEx,2018-01-02,2026-08-19,2086,TPEX_DAILY_QUOTES
3288,TPEx,2018-01-02,2026-08-19,1858,TPEX_DAILY_QUOTES
3289,TPEx,2018-01-02,2026-08-19,2095,TPEX_DAILY_QUOTES
3290,TPEx,2018-01-02,2026-08-19,2087,TPEX_DAILY_QUOTES
3293,TPEx,2018-01-02,2026-08-19,2095,TPEX_DAILY_QUOTES
3294,TPEx,2018-01-02,2026-08-19,2095,TPEX_DAILY_QUOTES
3297,TPEx,2018-01-02,2026-08-19,2095,TPEX_DAILY_QUOTES
3299,TPEx,2018-01-02,2018-11-21,217,TPEX_DAILY_QUOTES
3303,TPEx,2018-01-02,2026-08-19,2095,TPEX_DAILY_QUOTES
3306,TPEx,2018-01-02,2026-08-19,2092,TPEX_DAILY_QUOTES
3310,TPEx,2018-01-02,2026-08-19,2088,TPEX_DAILY_QUOTES
3313,TPEx,2018-01-02,2026-08-19,2094,TPEX_DAILY_QUOTES
3317,TPEx,2018-01-02,2026-08-19,2095,TPEX_DAILY_QUOTES
3322,TPEx,2018-01-02,2026-08-19,2095,TPEX_DAILY_QUOTES
3323,TPEx,2018-01-02,2026-08-19,2095,TPEX_DAILY_QUOTES
3324,TPEx,2018-01-02,2026-08-19,2095,TPEX_DAILY_QUOTES
3325,TPEx,2018-01-02,2026-08-19,2095,TPEX_DAILY_QUOTES
3332,TPEx,2018-01-05,2026-08-19,1683,TPEX_DAILY_QUOTES
3339,TPEx,2018-01-02,2026-08-19,2050,TPEX_DAILY_QUOTES
3349,TPEx,2022-03-23,2026-08-19,1035,TPEX_STK_WN1430
3354,TPEx,2018-01-02,2026-08-19,2095,TPEX_DAILY_QUOTES
3357,TPEx,2021-04-27,2026-08-19,1294,TPEX_STK_WN1430
3360,TPEx,2018-01-02,2026-08-19,2095,TPEX_DAILY_QUOTES
3362,TPEx,2018-01-02,2026-08-19,2095,TPEX_DAILY_QUOTES
3363,TPEx,2018-01-02,2026-08-19,2095,TPEX_DAILY_QUOTES
3372,TPEx,2018-01-02,2026-08-19,2089,TPEX_DAILY_QUOTES
3373,TPEx,2018-01-02,2026-08-19,2095,TPEX_DAILY_QUOTES
3374,TPEx,2018-01-02,2026-08-19,2095,TPEX_DAILY_QUOTES
3379,TPEx,2018-01-02,2026-08-19,2090,TPEX_DAILY_QUOTES
3388,TPEx,2018-01-02,2026-08-19,2095,TPEX_DAILY_QUOTES
3390,TPEx,2018-01-02,2026-08-19,2095,TPEX_DAILY_QUOTES
3402,TPEx,2018-01-02,2026-08-19,2095,TPEX_DAILY_QUOTES
3426,TPEx,2018-01-02,2026-06-01,1810,TPEX_DAILY_QUOTES
3428,TPEx,2018-01-02,2018-09-17,172,TPEX_DAILY_QUOTES
3430,TPEx,2022-09-08,2026-08-19,955,TPEX_STK_WN1430
3431,TPEx,2018-01-02,2019-01-18,241,TPEX_DAILY_QUOTES
3434,TPEx,2018-01-02,2026-08-19,2009,TPEX_DAILY_QUOTES
3438,TPEx,2018-01-02,2026-08-19,2087,TPEX_DAILY_QUOTES
3441,TPEx,2018-01-02,2026-08-19,2095,TPEX_DAILY_QUOTES
3444,TPEx,2018-01-02,2026-08-19,2095,TPEX_DAILY_QUOTES
3452,TPEx,2018-01-02,2020-01-10,485,TPEX_DAILY_QUOTES
3455,TPEx,2018-01-02,2026-08-19,2094,TPEX_DAILY_QUOTES
3465,TPEx,2018-01-03,2026-08-19,1935,TPEX_DAILY_QUOTES
3466,TPEx,2018-01-02,2026-08-19,2060,TPEX_DAILY_QUOTES
3467,TPEx,2025-03-25,2026-08-19,344,TPEX_STK_WN1430
3479,TPEx,2018-01-02,2026-08-19,2095,TPEX_DAILY_QUOTES
3483,TPEx,2018-01-02,2026-08-19,2095,TPEX_DAILY_QUOTES
3484,TPEx,2018-01-02,2026-08-19,2095,TPEX_DAILY_QUOTES
