date,symbol,close,oscillation_score,low_score,historical_events,mr_probability,regime_risk_score,final_score,take_profit
2025-04-08,1307,36.0,98.31565982030189,97.33408447897827,15,0.8666666666666667,20.0,91.82821906583513,0.12
2025-04-11,1307,34.599998474121094,96.75832534191183,72.13766906159232,15,0.8666666666666667,20.0,85.06191486797162,0.12
2025-04-21,1307,33.70000076293945,95.51147052203123,69.1168681013027,15,0.8666666666666667,20.0,83.93265818193504,0.12
2026-04-07,1307,31.0,96.69482374230829,66.24833803112944,20,0.9,20.0,84.57053163047485,0.12
2026-07-28,1307,31.0,65.61407855930844,65.31513371379373,25,0.88,20.0,74.41300699624097,0.12
2026-07-29,1307,30.649999618530273,67.36420458455598,80.23679657301406,25,0.88,20.0,78.66846051862031,0.12
2026-07-30,1307,30.649999618530273,66.53164177876431,77.74979083010426,25,0.88,20.0,77.79694024115535,0.12
2021-08-16,1466,17.0,98.50746139974599,83.44400752334451,16,0.6875,20.0,83.03824030075992,0.2
2021-08-17,1466,17.0,97.98477515888155,79.87913945346652,16,0.6875,20.0,81.9902174110311,0.2
2021-08-18,1466,17.0,98.97796810615901,77.46570656494825,16,0.6875,20.0,81.68481707308476,0.2
2021-08-19,1466,16.450000762939453,93.6350823343534,85.88105461255888,16,0.6875,20.0,82.18578835344574,0.2
2021-08-20,1466,16.299999237060547,88.11609151131779,86.56435065674542,16,0.6875,20.0,80.70091511758169,0.2
2021-09-06,1466,16.5,94.2237294026582,67.67458461857204,16,0.6875,20.0,77.81076497544046,0.2
2022-09-28,1476,408.0,93.60700765308056,70.89785996780643,25,0.68,20.0,78.20656728787577,0.1
2022-09-30,1476,392.0,96.16858237547893,88.13177703157483,25,0.68,20.0,83.28351897053739,0.1
2022-10-03,1476,390.0,95.10951921752307,88.2402312126221,25,0.68,20.0,82.99291356841245,0.1
2022-10-13,1476,393.5,89.40710550476834,67.02363724241948,25,0.68,20.0,75.97804096203538,0.1
2022-10-14,1476,390.5,89.24633169034114,74.91370951897045,25,0.68,20.0,77.90232688684495,0.1
2022-10-17,1476,385.5,88.39358945206541,79.95562653249885,25,0.68,20.0,78.90698346874433,0.1
2023-03-16,1476,452.0,73.41140952615685,68.87669600059976,28,0.6785714285714286,20.0,71.59973971513985,0.12
2023-03-17,1476,448.5,72.14189756993147,80.27141472909898,28,0.6785714285714286,20.0,74.06756581039704,0.12
2024-04-15,1476,513.0,69.4275582573455,87.41617052077031,33,0.696969696969697,20.0,75.59140101648714,0.12
2024-04-16,1476,505.0,68.96378269617706,89.44377449558138,33,0.696969696969697,20.0,75.95916934183937,0.12
2024-04-17,1476,495.0,65.42016806722688,91.73527364462943,33,0.696969696969697,20.0,75.46895974041632,0.12
2024-04-18,1476,500.0,67.4836911819456,77.83354133239219,33,0.696969696969697,20.0,72.61258359677264,0.12
2024-04-19,1476,487.0,66.8752033230299,91.98025515558098,33,0.696969696969697,20.0,75.96671569489511,0.12
2024-05-09,1476,485.0,65.13681196309258,81.85617039454777,34,0.6764705882352942,20.0,72.29920383462354,0.12
2024-12-12,1476,521.0,68.92083997377168,67.25118259465515,39,0.6923076923076923,20.0,70.25827841002607,0.12
2024-12-16,1476,516.0,65.58184931114235,81.73827532069342,39,0.6923076923076923,20.0,72.87835439274681,0.12
2025-04-07,1476,395.5,68.19763138415988,96.50340751054296,41,0.6585365853658537,20.0,76.34123885385932,0.12
2025-12-09,1476,398.5,92.64734818295216,76.97940827696411,45,0.6888888888888889,20.0,79.70572319079335,0.12
2025-12-10,1476,393.0,91.26966338786922,85.87055860295403,45,0.6888888888888889,20.0,81.51520533376595,0.12
2025-12-11,1476,389.0,89.05467344874188,86.91738186270412,45,0.6888888888888889,20.0,81.11241416696527,0.12
2025-12-12,1476,394.0,87.07970165415087,65.31182211209992,45,0.6888888888888889,20.0,75.1185326909369,0.12
2025-12-15,1476,390.0,75.63466829769888,79.12079515545955,45,0.6888888888888889,20.0,75.1372659448412,0.12
2025-12-16,1476,387.0,68.54490034560767,83.41887296976029,45,0.6888888888888889,20.0,74.08485501278903,0.12
2025-12-18,1476,385.5,66.28750620108873,80.3526931270663,45,0.6888888888888889,20.0,72.64109180875985,0.12
2026-03-09,1476,381.0,82.42597302707858,74.86958141710774,46,0.6739130434782609,20.0,75.66257856674834,0.12
2026-03-10,1476,372.0,84.50967647132153,88.67937192864943,46,0.6739130434782609,20.0,79.74013722790664,0.12
