symbol,name,delisting_date,exchange,source,reason
5317,凱美電機股份有限公司,2019-09-30,TPEx,TPEx company/deListed,本中心證券商營業處所買賣有價證券業務規則第12條之2
1787,福盈科技化學股份有限公司,2019-11-29,TPEx,TPEx company/deListed,本中心證券商營業處所買賣有價證券業務規則第15條之18
4415,台原藥股份有限公司,2019-12-16,TPEx,TPEx company/deListed,本中心證券商營業處所買賣有價證券業務規則第13條之1第2項
1795,美時化學製藥股份有限公司,2019-12-16,TPEx,TPEx company/deListed,本中心證券商營業處所買賣有價證券業務規則第12條之2第1項第1款
3562,頂晶科技股份有限公司,2020-02-27,TPEx,TPEx company/deListed,依本中心證券商營業處所買賣有價證券業務規則第15條之12、14、15及16規定
8287,英格爾科技股份有限公司,2020-05-11,TPEx,TPEx company/deListed,本中心證券商營業處所買賣有價證券業務規則第12條之2
4947,昂寶電子股份有限公司,2020-05-28,TPEx,TPEx company/deListed,本中心證券商營業處所買賣有價證券業務規則第15條之18
6238,勝麗國際股份有限公司,2020-06-19,TPEx,TPEx company/deListed,本中心證券商營業處所買賣有價證券業務規則第15條之18
6497,亞獅康股份有限公司,2020-08-25,TPEx,TPEx company/deListed,本中心證券商營業處所買賣有價證券業務規則第12條之2。
5349,先豐通訊股份有限公司,2020-11-04,TPEx,TPEx company/deListed,本中心證券商營業處所買賣有價證券業務規則第15條之18
1333,恩得利工業股份有限公司,2020-11-17,TPEx,TPEx company/deListed,本中心證券商營業處所買賣有價證券業務規則第12條之2
8934,衡平股份有限公司,2020-11-18,TPEx,TPEx company/deListed,本中心證券商營業處所買賣有價證券業務規則第12條之2及第15條之11
5304,鼎創達股份有限公司,2020-11-20,TPEx,TPEx company/deListed,本中心證券商營業處所買賣有價證券管理辦法第10條
1597,直得科技股份有限公司,2020-12-23,TPEx,TPEx company/deListed,本中心證券商營業處所買賣有價證券業務規則第12條之2第1項第1款
6438,迅得機械股份有限公司,2021-01-19,TPEx,TPEx company/deListed,本中心證券商營業處所買賣有價證券業務規則第12條之2第1項第1款
