train_start,test_start,test_end,selected_tp,trades,Starting Capital,Ending Capital,Total Return,CAGR,Max Drawdown,Average Drawdown,Sharpe Ratio,Sortino Ratio,Capital Utilization,Maximum Concurrent Positions,Win Rate,Profit Factor,Average Trade Return,Median Trade Return,Average Holding Days,Median Holding Days,Trades Per Year,Best Trade,Worst Trade,Average MAE,Median MAE,90th percentile MAE,90th Percentile MAE Before TP,Average MFE,Median MFE,Take Profit Hit Rate,Thesis Break Exit Rate,Time Exit Rate,Median Days to TP,Percentage Never Reaching TP
2019-01-01,2022-01-01,2022-06-30,0.05,26,100000.0,83077.40943608186,-0.16922590563918138,-0.3164320082393357,-0.1786693400652356,-0.0998704479444642,-1.4311546848875045,-2.1348467693634445,0.6791131208452126,8,0.5,0.2456952238646965,-0.07288612772175743,-0.007741433284637396,33.42307692307692,13.0,53.35112359550562,0.0477162001039053,-0.3369242004979195,-0.16847720763043866,-0.13667151249326498,-0.33882580835055887,-0.2539973503585362,0.04118420468781303,0.0428697723141207,0.46153846153846156,0.0,0.23076923076923078,11.5,0.5384615384615384
2019-07-01,2022-07-01,2022-12-31,0.05,33,100000.0,90454.04168377971,-0.09545958316220293,-0.18237023091729176,-0.22473417258786987,-0.11347761530905569,-0.7982474798009761,-0.9369392899424575,0.5334403337786138,8,0.7272727272727273,0.4760557986105716,-0.016890219321741867,0.04282237436652773,22.515151515151516,8.0,66.22664835164835,0.07485299357506464,-0.3705908912622938,-0.12621706399137267,-0.08342888638455126,-0.35288756354827205,-0.11016216382573385,0.05739634248871306,0.05521488158144128,0.696969696969697,0.030303030303030304,0.09090909090909091,5.0,0.303030303030303
2020-01-01,2023-01-01,2023-06-30,0.1,22,100000.0,109073.35338732261,0.09073353387322602,0.19508124280288697,-0.07804500489307253,-0.021186607452411788,1.4636354173574702,2.1037868014940986,0.5309401348794183,8,0.6363636363636364,2.347579962089533,0.03234733720848046,0.09248058266969567,26.40909090909091,22.0,45.14325842696629,0.1862925959367233,-0.1731900049422578,-0.0652341431343857,-0.04103249691484978,-0.1586051556437126,-0.07332601314928988,0.1025815725381558,0.10281190662852335,0.5909090909090909,0.0,0.045454545454545456,7.0,0.40909090909090906
2020-07-01,2023-07-01,2023-12-31,0.08,27,100000.0,109028.62932301537,0.09028629323015358,0.1928933068184704,-0.08429024821466569,-0.02394321708489528,1.2408002486584488,2.300079273523169,0.66345283682051,8,0.7777777777777778,3.0517635495485034,0.040671476876554855,0.07261729934842849,29.25925925925926,15.0,55.09357541899441,0.10241336135578169,-0.1004307253771766,-0.07962604643563133,-0.05588916577927561,-0.17666662004299566,-0.1451376883171648,0.08280463086431372,0.08889065944280672,0.7037037037037037,0.0,0.1111111111111111,12.0,0.2962962962962963
2021-01-01,2024-01-01,2024-06-30,0.08,29,100000.0,107221.68901156177,0.07221689011561772,0.1538223976146198,-0.08341702414791696,-0.024311970897052892,1.0360681023389997,1.3595726911110717,0.7469240649794466,8,0.7586206896551724,1.720626022550686,0.028831568922020344,0.0726172993484284,29.03448275862069,20.0,59.50702247191011,0.17341621897460346,-0.2325257810581666,-0.08298927801672251,-0.07049472266863555,-0.19366937511036955,-0.11384218624524076,0.08351041363345015,0.09076727030798026,0.6551724137931034,0.0,0.13793103448275862,15.0,0.3448275862068966
2021-07-01,2024-07-01,2024-12-31,0.08,24,100000.0,79642.35326231016,-0.20357646737689838,-0.3651175599862243,-0.22637649701157958,-0.12522924304704014,-2.196801215558891,-2.5396872464267566,0.7168162478662806,8,0.4166666666666667,0.2464413911366269,-0.08040828037869734,-0.07349873563029552,37.875,28.0,47.90163934426229,0.07803303201759465,-0.3880216312720988,-0.14991272055067312,-0.12196403278672863,-0.31450894649821626,-0.12429218914763171,0.05841517801516005,0.07197119873301083,0.375,0.041666666666666664,0.25,4.0,0.625
2022-01-01,2025-01-01,2025-06-30,0.12,13,100000.0,96718.88205459193,-0.03281117945408074,-0.06580895073662774,-0.2814569814745509,-0.08489383684936912,-0.07778192426630523,-0.08776765554549025,0.5987794276267333,8,0.5384615384615384,0.6687158007416267,-0.020262036692802098,0.008131570029706423,56.53846153846154,79.0,26.52653631284916,0.11234386599096308,-0.31668154602002085,-0.25752933609000644,-0.33631183631183625,-0.44870692481995705,-0.2040182858766929,0.09776952155542576,0.11888111888111896,0.46153846153846156,0.0,0.38461538461538464,18.0,0.5384615384615384
2022-07-01,2025-07-01,2025-12-31,0.15,24,100000.0,106181.92191582118,0.06181921915821187,0.12718291936750759,-0.09456462494914653,-0.04056835446218648,0.8492717417181137,1.3229755531326381,0.6676457201185356,8,0.5416666666666666,1.4347694830492723,0.02592735409637688,0.0818962249247676,34.125,23.0,47.90163934426229,0.17680931811899467,-0.23491914353784962,-0.09636336243747619,-0.05092272298932926,-0.22453660499763667,-0.14074786723886576,0.1094881962805642,0.12150432663253186,0.5,0.0,0.20833333333333334,11.0,0.5
2023-01-01,2026-01-01,2026-06-30,0.08,32,100000.0,113719.7544905839,0.13719754490583913,0.2999700218280683,-0.08721639176970852,-0.022207420248358933,1.6204825392204232,2.2484844185275614,0.481457767723145,8,0.84375,2.4868224159344474,0.04133062200952458,0.07261729934842846,16.34375,7.5,65.29608938547486,0.11684282054920152,-0.38752457655935046,-0.07544969303712937,-0.04195818189374695,-0.17294253048597072,-0.121981779975562,0.09484223113553014,0.09513566996898515,0.78125,0.0,0.0,5.0,0.21875
2023-07-01,2026-07-01,2026-08-20,0.08,12,100000.0,91387.64495106373,-0.08612355048936271,-0.4889632577379137,-0.1891647505540961,-0.08665583120049473,-1.5901165287345926,-2.4505981875747427,0.6525651001046845,8,0.4166666666666667,0.3210260350252781,-0.05534763440954832,-0.07836848093193124,18.5,23.0,89.44897959183673,0.12501510624593182,-0.24194579675876407,-0.19449557614027138,-0.22102695293226204,-0.3066895040333262,-0.21771236426408833,0.050199477592581886,0.02133869052893511,0.4166666666666667,0.0,0.0,10.0,0.5833333333333333
