symbol,exchange,rows,first_date,last_date,duplicate_dates,invalid_ohlcv_rows,max_field_missing_ratio,missing_trading_day_ratio,has_120_days,downloaded
4188,TPEx,2094,2018-01-02,2026-08-19,0,0,0.0,0.0004773269689737347,True,True
4192,TPEx,2005,2018-01-02,2026-08-18,0,0,0.0,0.04250238777459403,True,True
4198,TPEx,1946,2018-01-02,2026-08-18,0,0,0.0,0.07067812798471829,True,True
4205,TPEx,2085,2018-01-02,2026-08-19,0,0,0.0,0.004773269689737458,True,True
4207,TPEx,2095,2018-01-02,2026-08-19,0,0,0.0,0.0,True,True
4303,TPEx,2087,2018-01-02,2026-08-19,0,0,0.0,0.003818615751789989,True,True
4304,TPEx,1890,2018-01-02,2026-08-19,0,0,0.0,0.09785202863961817,True,True
4305,TPEx,1788,2018-01-02,2026-08-19,0,0,0.0,0.14653937947494033,True,True
4401,TPEx,2095,2018-01-02,2026-08-19,0,0,0.0,0.0,True,True
4402,TPEx,2029,2018-01-02,2026-08-19,0,0,0.0,0.03150357995226727,True,True
4406,TPEx,1914,2018-01-02,2026-08-19,0,0,0.0,0.0863961813842482,True,True
4413,TPEx,1852,2018-01-02,2026-08-19,0,0,0.0,0.11599045346062054,True,True
4416,TPEx,1747,2018-01-02,2026-08-19,0,0,0.0,0.166109785202864,True,True
4417,TPEx,2095,2018-01-02,2026-08-19,0,0,0.0,0.0,True,True
4419,TPEx,1310,2018-01-04,2026-08-19,0,0,0.0,0.37410415671285235,True,True
4420,TPEx,2065,2018-01-02,2026-08-19,0,0,0.0,0.014319809069212375,True,True
4430,TPEx,2076,2018-01-02,2026-08-19,0,0,0.0,0.009069212410501182,True,True
4432,TPEx,2094,2018-01-02,2026-08-19,0,0,0.0,0.0004773269689737347,True,True
4433,TPEx,2078,2018-01-02,2026-08-19,0,0,0.0,0.008114558472553712,True,True
4442,TPEx,657,2023-11-29,2026-08-19,0,0,0.0,0.003034901365705611,True,True
4502,TPEx,2071,2018-01-02,2026-08-19,0,0,0.0,0.011455847255369966,True,True
4503,TPEx,2089,2018-01-02,2026-08-19,0,0,0.0,0.0028639618138425194,True,True
4506,TPEx,2093,2018-01-02,2026-08-19,0,0,0.0,0.0009546539379474694,True,True
4510,TPEx,2095,2018-01-02,2026-08-19,0,0,0.0,0.0,True,True
4513,TPEx,2095,2018-01-02,2026-08-19,0,0,0.0,0.0,True,True
4523,TPEx,2072,2018-01-02,2026-08-19,0,0,0.0,0.010978520286396232,True,True
4527,TPEx,2087,2018-01-02,2026-08-19,0,0,0.0,0.003818615751789989,True,True
4528,TPEx,2086,2018-01-02,2026-08-19,0,0,0.0,0.0042959427207637235,True,True
4529,TPEx,2093,2018-01-02,2026-08-19,0,0,0.0,0.0009546539379474694,True,True
4530,TPEx,2028,2018-01-02,2026-08-19,0,0,0.0,0.031980906921241004,True,True
4533,TPEx,2094,2018-01-02,2026-08-19,0,0,0.0,0.0004773269689737347,True,True
4534,TPEx,2095,2018-01-02,2026-08-19,0,0,0.0,0.0,True,True
4535,TPEx,2032,2018-01-02,2026-08-19,0,0,0.0,0.030071599045346065,True,True
4538,TPEx,1814,2019-01-15,2026-08-19,0,0,0.0,0.014665942422596445,True,True
4541,TPEx,2095,2018-01-02,2026-08-19,0,0,0.0,0.0,True,True
4542,TPEx,1969,2018-01-02,2026-08-19,0,0,0.0,0.06014319809069213,True,True
4543,TPEx,2065,2018-01-02,2026-08-19,0,0,0.0,0.014319809069212375,True,True
